variable_names,pworker,pworker,ptotals
variable_categories,1,2,1
geo,,,
3488,2107.286846,2547.49439,4654.781236
3489,3294.264235,3982.428721,7276.692956
3490,3036.674618,3671.029206,6707.703824
3491,1566.61509,1893.877505,3460.492596
3492,2462.257312,2976.617399,5438.874711
3493,2180.939151,2636.532499,4817.47165
3494,1993.744885,2410.233766,4403.97865
3495,1593.422019,1926.284342,3519.706361
3496,3328.221064,4023.479057,7351.700121
3497,1677.023289,2027.349731,3704.37302
3498,1899.548883,2296.360428,4195.90931
3499,2571.647741,3108.859246,5680.506987
3500,1250.384202,1511.586686,2761.970889
3501,1723.36747,2083.37511,3806.74258
3502,1138.158585,1375.917387,2514.075972
3503,1377.14917,1664.832575,3041.981745
3504,1159.058902,1401.183734,2560.242637
3505,3104.35239,3752.844713,6857.197103
3506,2299.943616,2780.396732,5080.340348
3507,1302.402635,1574.471654,2876.874288
3508,3158.838603,3818.712976,6977.551579
3509,1182.659308,1429.714213,2612.373521
3510,3388.287739,4096.093527,7484.381266
3511,198.5912844,240.0765629,438.6678473
3512,2380.364402,2877.617242,5257.981644
3513,2910.142011,3518.064218,6428.206229
3514,2385.998425,2884.428199,5270.426624
3515,2046.747699,2474.30875,4521.056449
3516,1909.198553,2308.025893,4217.224445
3517,2218.930023,2682.459579,4901.389602
3518,2024.150298,2446.990802,4471.141101
3519,2426.708584,2933.642621,5360.351205
3520,2941.492487,3555.963738,6497.456226
3521,1616.139755,1953.747763,3569.887518
3522,2664.863166,3221.547166,5886.410333
3523,2265.140068,2738.3228,5003.462868
3524,1295.819675,1566.513528,2862.333203
3525,3428.307308,4144.473095,7572.780403
3526,3313.87944,4006.141499,7320.020939
3527,3022.440334,3653.821411,6676.261746
3528,2271.773623,2746.34209,5018.115713
3529,2587.459334,3127.973845,5715.433179
3530,3084.614225,3728.98329,6813.597515
3531,2465.911295,2981.034691,5446.945986
3532,1353.995436,1636.842077,2990.837512
3533,1973.971396,2386.329639,4360.301035
3534,2681.129113,3241.211034,5922.340147
3535,2204.183829,2664.632938,4868.816766
3536,1779.780163,2151.572288,3931.352451
3537,1892.387428,2287.702961,4180.090389
3538,3102.552179,3750.668442,6853.220621
3539,3016.988078,3647.23019,6664.218268
3540,2889.350753,3492.929712,6382.280465
3541,3449.006714,4169.496561,7618.503276
3542,1410.844126,1705.566333,3116.410459
3543,2421.783388,2927.688563,5349.471951
3544,3061.769313,3701.366126,6763.135439
3545,2398.992946,2900.137247,5299.130193
3546,3657.752751,4421.849182,8079.601933
3547,1806.605328,2184.001171,3990.606499
3548,1328.533215,1606.060854,2934.594069
3549,1808.331804,2186.088304,3994.420108
3550,2753.153395,3328.281029,6081.434424
3551,2932.896101,3545.571586,6478.467686
3552,3150.277661,3808.363672,6958.641333
3553,2925.86278,3537.069021,6462.931801
3554,3099.135819,3746.538413,6845.674232
3555,3399.881934,4110.109724,7509.991658
3556,2530.664993,3059.315293,5589.980286
3557,3804.693877,4599.485983,8404.17986
3558,2212.689392,2674.915295,4887.604687
3559,3035.026317,3669.036578,6704.062895
3560,2158.876011,2609.860418,4768.73643
3561,2208.527613,2669.884129,4878.411742
3562,3186.892832,3852.627671,7039.520504
3563,3426.016389,4141.703608,7567.719998
3564,3129.013812,3782.657852,6911.671664
3565,2567.576785,3103.937876,5671.514662
3566,2972.406965,3593.336182,6565.743146
3567,1861.963898,2250.924023,4112.887921
3568,2349.341225,2840.113392,5189.454616
3569,984.7983363,989.7264761,1974.524812
3570,1202.399621,1208.416683,2410.816304
3571,1447.167486,1454.409419,2901.576906
3572,1353.907057,1360.682295,2714.589352
3573,378.2601767,380.1530708,758.4132475
3574,2078.905729,2089.309014,4168.214743
3575,1799.27791,1808.281879,3607.559789
3576,1631.397828,1639.561689,3270.959517
3577,1009.710633,1014.763439,2024.474072
3578,1997.05104,2007.044707,4004.095747
3579,1564.021751,1571.848448,3135.870199
3580,1090.040079,1095.494871,2185.53495
3581,996.1454584,1001.130382,1997.27584
3582,1209.51742,1215.570101,2425.087521
3583,1097.157878,1102.648289,2199.806167
3584,1730.722996,1739.383901,3470.106896
3585,1084.447523,1089.874328,2174.321851
3586,1430.250194,1437.407469,2867.657664
3587,777.3653362,781.2554372,1558.620773
3588,1028.013545,1033.157942,2061.171487
3589,854.8063063,859.0839384,1713.890245
3590,1724.54102,1733.17099,3457.71201
3591,2245.665592,2256.903379,4502.568971
3592,1174.414453,1180.291472,2354.705924
3593,1223.244604,1229.365979,2452.610583
3594,1963.068292,1972.891903,3935.960195
3595,2194.741611,2205.724564,4400.466175
3596,1688.664239,1697.114673,3385.778912
3597,2000.842274,2010.854913,4011.697187
3598,2257.867533,2269.166381,4527.033914
3599,1532.360447,1540.028704,3072.38915
3600,1110.885062,1116.444166,2227.329228
3601,1934.759106,1944.441051,3879.200156
3602,1807.147137,1816.190485,3623.337623
3603,2850.678509,2864.943909,5715.622418
3604,671.7771886,675.1389041,1346.916093
3605,1584.218697,1592.146463,3176.36516
3606,1162.743312,1168.561926,2331.305238
3607,2031.366092,2041.531478,4072.89757
3608,2284.305072,2295.736219,4580.041292
3609,2438.849228,2451.053746,4889.902974
3610,2049.417704,2059.673425,4109.09113
3611,2013.828709,2023.906335,4037.735045
3612,1314.500444,1321.078483,2635.578928
3613,1576.673488,1584.563497,3161.236985
3614,2191.773685,2202.741785,4394.51547
3615,1126.115102,1131.750421,2257.865523
3616,2345.985202,2357.725009,4703.710211
3617,1244.598001,1250.826233,2495.424234
3618,1669.632285,1677.987479,3347.619764
3619,688.3843081,691.8291292,1380.213437
3620,2500.919291,2513.434422,5014.353713
3621,1900.591962,1910.102928,3810.69489
3622,1468.439879,1475.788263,2944.228142
3623,977.172123,982.0620996,1959.234223
3624,542.9863826,545.7036017,1088.689984
3625,1772.331957,1781.201082,3553.533039
3626,773.7978964,777.6701452,1551.468042
3627,1883.166256,1892.590019,3775.756275
3628,1900.452339,1909.962606,3810.414945
3629,2955.492842,2970.282755,5925.775597
3630,1461.425471,1468.738754,2930.164224
3631,1121.56176,1127.174293,2248.736054
3632,1618.851553,1626.95263,3245.804183
3633,1576.084069,1583.971128,3160.055198
3634,2042.379131,2052.599629,4094.97876
3635,1038.690243,1043.888069,2082.578313
3636,3040.317011,3055.531403,6095.848414
3637,2985.408276,3000.347892,5985.756168
3638,1991.022534,2000.986033,3992.008567
3639,2750.012494,2763.77414,5513.786634
3640,1852.004825,1861.27265,3713.277476
3641,1451.419196,1458.682405,2910.101601
3642,1997.05104,2007.044707,4004.095747
3643,1725.292449,1733.926178,3459.218627
3644,1485.784581,1493.219762,2979.004342
3645,1480.107044,1487.513814,2967.620858
3646,972.0879809,976.9525153,1949.040496
3647,1847.097349,1856.340616,3703.437965
3648,1602.013194,1610.030008,3212.043203
3649,2914.565824,2929.15093,5843.716753
3650,2361.536026,2373.353653,4734.889679
3651,2133.30605,2143.981566,4277.287616
3652,2752.202668,2765.975274,5518.177943
3653,2392.088886,2404.059406,4796.148292
3654,1410.341035,1417.398681,2827.739716
3655,2145.507991,2156.244568,4301.75256
3656,2206.922721,2217.96663,4424.88935
3657,1223.244604,1229.365979,2452.610583
3658,2923.462746,2938.092374,5861.55512
3659,1758.096359,1766.894246,3524.990605
3660,1392.546537,1399.515136,2792.061673
3661,2936.600511,2951.295883,5887.896394
3662,1982.815442,1992.737871,3975.553313
3663,1599.124718,1607.127078,3206.251796
3664,2611.966841,2625.037677,5237.004519
3665,3258.381938,3274.687572,6533.069509
3666,735.1669563,738.8458876,1474.012844
3667,1949.768518,1959.525573,3909.294092
3668,3129.568745,3145.229771,6274.798517
3669,2552.239364,2565.011311,5117.250675
3670,2059.535607,2069.84196,4129.377567
3671,2241.107852,2252.322831,4493.430684
3672,3457.854559,3475.158397,6933.012956
3673,937.0884046,941.7777938,1878.866198
3674,2190.248442,2201.20891,4391.457352
3675,2287.65719,2299.105112,4586.762302
3676,1862.321273,1871.640724,3733.961997
3677,1877.654704,1887.050887,3764.705591
3678,1552.593625,1560.363132,3112.956757
3679,1994.972611,2004.955877,3999.928488
3680,1777.416099,1786.310666,3563.726765
3681,2918.887018,2933.493748,5852.380767
3682,3251.713934,3267.986201,6519.700135
3683,2184.655886,2195.588367,4380.244253
3684,1765.295162,1774.129074,3539.424236
3685,2457.165906,2469.462085,4926.627991
3686,1133.255287,1138.926337,2272.181625
3687,3177.404454,3193.30486,6370.709314
3688,2029.081136,2039.235088,4068.316224
3689,2129.747151,2140.404857,4270.152008
3690,3063.924693,3079.257222,6143.181915
3691,3101.488727,3117.009234,6218.497961
3692,2750.660531,2764.42542,5515.085951
3693,1573.033584,1580.905378,3153.938962
3694,2303.624812,2315.15264,4618.777452
3695,588.2352478,591.1789018,1179.41415
3696,1020.47466,1025.581332,2046.055993
3697,2515.714545,2528.303714,5044.01826
3698,1276.628096,1283.016614,2559.64471
3699,424.0174561,426.1393294,850.1567855
3700,2472.418332,2484.790838,4957.20917
3701,2335.632522,2347.320522,4682.953044
3702,3596.684173,3614.682743,7211.366916
3703,1723.560424,1732.185486,3455.74591
3704,2182.622229,2193.544534,4376.166763
3705,2125.171423,2135.806231,4260.977654
3706,1390.004466,1396.960344,2786.96481
3707,398.5967453,400.591408,799.1881533
3708,1789.271635,1798.22553,3587.497165
3709,1620.109324,1628.216695,3248.32602
3710,1511.00705,1518.56845,3029.575499
3711,525.7002993,528.3310151,1054.031314
3712,3507.411125,3524.962955,7032.37408
3713,3165.386908,3181.227176,6346.614084
3714,1588.286011,1596.234131,3184.520141
3715,1588.286011,1596.234131,3184.520141
3716,2105.343268,2115.878853,4221.222121
3717,1314.066353,1320.642219,2634.708572
3718,896.9823,901.4709897,1798.45329
3719,1724.54102,1733.17099,3457.71201
3720,518.3757185,520.9697805,1039.345499
3721,980.2226083,985.1278502,1965.350459
3722,1912.880214,1922.452672,3835.332886
3723,2572.818947,2585.693878,5158.512825
3724,1596.420638,1604.409466,3200.830104
3725,2514.616712,2527.200387,5041.8171
3726,1560.993652,1568.805196,3129.798848
3727,2362.591158,2374.414065,4737.005223
3728,2093.811751,2104.289629,4198.101379
3729,3020.731871,3035.848254,6056.580125
3730,2469.367847,2481.725087,4951.092934
3731,502.9026642,505.4192958,1008.32196
3732,412.8323433,414.898244,827.7305873
3734,3327.305643,3343.956186,6671.261829
3736,1910.112209,1919.670816,3829.783025
3737,2855.12846,2869.416128,5724.544588
3738,873.9640372,878.3375386,1752.301576
3739,364.0245786,365.8462348,729.8708134
3740,2655.35467,2668.642628,5323.997299
3741,1559.3064,1567.1095,3126.415901
3742,1613.198307,1621.271094,3234.469401
3743,3270.52526,3286.891662,6557.416923
3744,144.3896373,145.1121937,289.501831
3746,1528.293133,1535.941036,3064.234169
3747,41.18155149,41.38763271,82.5691842
3748,1605.572094,1613.606717,3219.178811
3749,362.499336,364.3133595,726.8126955
3752,1598.431909,1606.430801,3204.86271
3753,801.7692185,805.7814418,1607.55066
3755,279.6365207,347.1335451,626.7700658
3756,709.8522445,881.1922189,1591.044463
3757,651.8272274,809.1614633,1460.988691
3758,875.1978213,1086.447942,1961.645763
3759,673.1511827,835.6324699,1508.783653
3760,472.2702871,586.2641211,1058.534408
3761,903.6517539,1121.769918,2025.421672
3762,534.85084,663.950001,1198.800841
3763,894.2527015,1110.102177,2004.354879
3764,587.1750311,728.9038988,1316.07893
3765,730.2525248,906.5165993,1636.769124
3766,1000.775296,1242.336571,2243.111867
3767,1044.189966,1296.23042,2340.420387
