hid,pid,sample_geo,ptotals,prtotals,pworker,rpworker,rpage,rpsex
3827,1,400,1,1,2,2,17,2
3827,2,400,1,1,1,1,11,2
3827,3,400,1,1,1,1,11,2
3839,1,1204,1,1,2,2,16,2
3845,1,2103,1,1,1,1,7,1
3845,2,2103,1,1,2,2,6,2
3869,1,2002,1,1,1,1,8,2
3871,1,906,1,1,1,1,10,1
3871,2,906,1,1,1,1,7,2
3871,3,906,1,1,1,1,5,1
3871,4,906,1,1,2,2,1,1
3973,1,2400,1,1,2,2,13,1
3973,2,2400,1,1,1,1,13,2
4022,1,1301,1,1,1,1,8,2
4080,1,1204,1,1,2,2,7,1
4080,2,1204,1,1,2,2,7,2
4080,3,1204,1,1,2,2,2,2
4080,4,1204,1,1,2,2,2,1
4080,5,1204,1,1,2,2,2,1
4080,6,1204,1,1,2,2,1,1
4080,7,1204,1,1,2,2,1,2
4121,1,703,1,1,1,1,8,1
4121,2,703,1,1,1,1,8,2
4151,1,902,1,1,1,1,9,1
4151,2,902,1,1,1,1,8,2
4151,3,902,1,1,2,2,2,1
4151,4,902,1,1,2,2,2,1
4151,5,902,1,1,2,2,14,2
4207,1,1402,1,1,1,1,7,2
4234,1,2400,1,1,1,1,11,1
4234,2,2400,1,1,2,2,17,2
4264,1,308,1,1,2,2,16,1
4264,2,308,1,1,1,1,13,2
4270,1,307,1,1,1,1,12,1
4270,2,307,1,1,1,1,12,2
4270,3,307,1,1,1,1,5,1
4282,1,2400,1,1,1,1,12,1
4282,2,2400,1,1,1,1,11,2
4397,1,2003,1,1,2,2,6,1
4418,1,602,1,1,1,1,11,1
4418,2,602,1,1,1,1,6,1
4418,3,602,1,1,2,2,5,1
4418,4,602,1,1,1,1,4,2
4418,5,602,1,1,2,2,4,2
4418,6,602,1,1,2,2,17,2
4428,1,102,1,1,1,1,11,2
4428,2,102,1,1,1,1,7,2
4428,3,102,1,1,1,1,5,1
4453,1,1502,1,1,1,1,8,1
4453,2,1502,1,1,1,1,8,2
4453,3,1502,1,1,2,2,2,1
4453,4,1502,1,1,2,2,1,1
4485,1,1503,1,1,1,1,9,2
4485,2,1503,1,1,1,1,9,1
4485,3,1503,1,1,2,2,3,2
4485,4,1503,1,1,2,2,3,1
4485,5,1503,1,1,2,2,2,2
4540,1,1301,1,1,1,1,5,2
4540,2,1301,1,1,2,2,5,1
4575,1,304,1,1,1,1,10,1
4575,2,304,1,1,2,2,10,2
4575,3,304,1,1,2,2,3,2
4626,1,307,1,1,2,2,12,2
4626,2,307,1,1,1,1,12,1
4626,3,307,1,1,1,1,6,2
4626,4,307,1,1,1,1,6,2
4626,5,307,1,1,1,1,5,2
4641,1,1404,1,1,1,1,8,1
4641,2,1404,1,1,2,2,6,2
4641,3,1404,1,1,2,2,1,2
4675,1,302,1,1,1,1,12,1
4675,2,302,1,1,1,1,12,2
4675,3,302,1,1,2,2,6,2
4758,1,307,1,1,2,2,12,1
4803,1,2301,1,1,1,1,11,1
4803,2,2301,1,1,2,2,3,1
4803,3,2301,1,1,1,1,11,2
4816,1,2002,1,1,2,2,16,2
4841,1,1301,1,1,2,2,9,1
4853,1,2001,1,1,2,2,16,2
4879,1,301,1,1,1,1,8,1
4885,1,1504,1,1,2,2,11,1
4891,1,1002,1,1,1,1,7,1
4891,2,1002,1,1,1,1,7,2
4891,3,1002,1,1,2,2,3,2
4891,4,1002,1,1,2,2,3,2
4891,5,1002,1,1,2,2,2,1
4942,1,702,1,1,1,1,6,1
4965,1,2500,1,1,2,2,15,2
4965,2,2500,1,1,2,2,12,1
5061,1,702,1,1,1,1,7,2
5061,2,702,1,1,1,1,7,1
5135,1,1002,1,1,1,1,11,2
5231,1,703,1,1,1,1,11,1
5231,2,703,1,1,1,1,12,2
5231,3,703,1,1,1,1,4,2
5256,1,703,1,1,1,1,14,2
5256,2,703,1,1,1,1,15,1
5256,3,703,1,1,1,1,8,2
5334,1,1001,1,1,1,1,11,2
5334,2,1001,1,1,1,1,5,2
5367,1,2104,1,1,1,1,10,1
5367,2,2104,1,1,1,1,9,2
