variable_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo,,,
3675,11.81787339,0,11.81787339
3676,0,0,0
3677,1.181787339,0,1.181787339
3678,5.908936693,0,5.908936693
3679,14.18144806,0,14.18144806
3680,0,0,0
3681,1.181787339,0,1.181787339
3682,5.908936693,0,5.908936693
3683,0,0,0
3684,1.181787339,0,1.181787339
3685,0,0,0
3686,0,0,0
3687,4.727149355,0,4.727149355
3688,0,0,0
3689,0,0,0
3690,10.63608605,0,10.63608605
3691,2.363574677,0,2.363574677
3692,9.454298709,0,9.454298709
3693,0,0,0
3694,0,0,0
3695,0,0,0
3696,817.711956,743.5400282,74.17192784
3697,1.181787339,0,1.181787339
3698,0,0,0
3699,0,0,0
3700,0,0,0
3701,7.090724032,0,7.090724032
3702,2.363574677,0,2.363574677
3703,15.3632354,0,15.3632354
3704,0,0,0
3705,0,0,0
3706,0,0,0
3707,0,0,0
3708,2.363574677,0,2.363574677
3709,11.81787339,0,11.81787339
3710,0,0,0
3711,0,0,0
3712,190.3448904,177.3452296,12.99966073
3713,0,0,0
3714,0,0,0
3715,0,0,0
3716,0,0,0
3717,4.727149355,0,4.727149355
3718,9.454298709,0,9.454298709
3719,0,0,0
3720,11.81787339,0,11.81787339
3721,0,0,0
3722,62.63472895,0,62.63472895
3723,3.545362016,0,3.545362016
3724,0,0,0
3725,0,0,0
3726,2.363574677,0,2.363574677
3727,244.6299791,0,244.6299791
3728,2.363574677,0,2.363574677
3729,3.545362016,0,3.545362016
3730,0,0,0
3731,1.181787339,0,1.181787339
3732,0,0,0
3734,3.545362016,0,3.545362016
3736,0,0,0
3737,12.99966073,0,12.99966073
3738,0,0,0
3739,0,0,0
3740,109.9062225,0,109.9062225
3741,0,0,0
3742,0,0,0
3743,5.908936693,0,5.908936693
3744,0,0,0
3746,0,0,0
3747,0,0,0
3748,0,0,0
3749,0,0,0
3752,7.090724032,0,7.090724032
3753,0,0,0
3755,11.8203457,0,11.8203457
3756,0,0,0
3757,2.36406914,0,2.36406914
3758,9.456276561,0,9.456276561
3759,0,0,0
3760,1.18203457,0,1.18203457
3761,0,0,0
3762,0,0,0
3763,0,0,0
3764,13.95048503,13.95048503,0
3765,262.4116746,0,262.4116746
3766,0,0,0
3767,0,0,0
3768,0,0,0
3769,0,0,0
3770,0,0,0
3771,0,0,0
3772,26.00476054,0,26.00476054
3773,0,0,0
3774,4.72813828,0,4.72813828
3775,1.18203457,0,1.18203457
3776,0,0,0
3777,251.1087306,251.1087306,0
3778,0,0,0
3779,0,0,0
3780,564.9946438,564.9946438,0
3781,0,0,0
3782,0,0,0
3783,0,0,0
3784,420.0474802,397.5888234,22.45865683
3785,0,0,0
3786,3.54610371,0,3.54610371
3787,0,0,0
3788,1.18203457,0,1.18203457
3789,61.46579764,0,61.46579764
3790,0,0,0
3791,0,0,0
3792,0,0,0
3793,6.975242516,6.975242516,0
3794,0,0,0
3795,0,0,0
3796,0,0,0
3797,198.5818078,0,198.5818078
3798,239.9530177,0,239.9530177
3799,20.92572755,20.92572755,0
3800,0,0,0
3801,851.0346242,495.2422186,355.7924056
3802,0,0,0
3803,36.64307167,0,36.64307167
3804,0,0,0
3805,20.09458769,0,20.09458769
3806,48.46341737,0,48.46341737
3807,1095.347005,1081.16259,14.18441484
3808,11.8203457,0,11.8203457
3809,0,0,0
3810,0,0,0
3811,496.4545194,0,496.4545194
3812,0,0,0
3813,0,0,0
3814,809.4954195,774.1768143,35.3186052
3815,0,0,0
3816,0,0,0
3817,0,0,0
3818,48.82669761,48.82669761,0
3819,0,0,0
3820,0,0,0
3821,0,0,0
3822,0,0,0
3823,0,0,0
3824,690.8503617,390.6135809,300.2367808
3825,3.54610371,0,3.54610371
3826,372.0519225,369.6878533,2.36406914
3827,50.82748651,0,50.82748651
3828,88.65259276,0,88.65259276
3829,769.215538,369.6878533,399.5276847
3830,0,0,0
3831,0,0,0
3832,3.54610371,0,3.54610371
3833,444.4023466,425.4897934,18.91255312
3834,0,0,0
3835,234.0428449,0,234.0428449
3836,0,0,0
3837,0,0,0
3838,6.975242516,6.975242516,0
3839,0,0,0
3840,1264.223827,878.880557,385.3432698
3841,3.54610371,0,3.54610371
3842,78.01428162,0,78.01428162
3843,26.00476054,0,26.00476054
3844,3143.501188,2021.266821,1122.234367
3845,0,0,0
3846,15.36644941,0,15.36644941
3847,57.91969393,0,57.91969393
3848,362.7126108,362.7126108,0
3849,636.1382623,481.2917336,154.8465287
3850,113.4753187,0,113.4753187
3851,0,0,0
3852,22.45865683,0,22.45865683
3853,28.36882968,0,28.36882968
3854,622.9721311,491.0570731,131.915058
3855,95.74480018,0,95.74480018
3856,1581.20037,1290.419865,290.7805042
3857,0,0,0
3858,39.00714081,0,39.00714081
3859,42.55324452,0,42.55324452
3860,0,0,0
3861,0,0,0
3862,2099.293396,0,2099.293396
3863,0,0,0
3864,21.27662226,0,21.27662226
3865,83.92445447,0,83.92445447
3866,5.91017285,0,5.91017285
3867,0,0,0
3868,13.00238027,0,13.00238027
3869,0,0,0
3870,34.27900253,0,34.27900253
3871,0,0,0
3872,292.9478001,223.2077605,69.74003963
3873,20.09458769,0,20.09458769
3874,0,0,0
