varialbe_names,hhtotals,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4
geo,,,,,
6075011,13.72953914,3.459038335,1.919055514,2.606124773,5.745320522
6075003,4.503196228,1.134541241,0.629437264,0.854791346,1.884426377
6075008,38.01670029,9.577977986,5.313809705,7.216284784,15.90862782
6075006,3.681276094,0.927465591,0.514552828,0.698775445,1.540482231
6075001,1.898519747,0.478315588,0.265366867,0.360374758,0.794462534
6075010,11.87732476,2.992388981,1.66016101,2.254539643,4.970235123
6075009,17.61918936,4.439001978,2.462733974,3.344453545,7.37299986
6075015,14.43569588,3.636948401,2.017759044,2.740166603,6.04082183
6075004,3.067730079,0.772887992,0.428794023,0.582312871,1.283735192
6075016,621.8462514,156.6687709,86.91897561,118.038115,260.2203899
1035004,0,0,0,0,0
1035007,28.04794836,4.036268634,5.127708621,9.287536499,9.596434609
1035006,499.2116183,71.8395574,91.26556017,165.3042877,170.802213
1035002,239.8727524,34.51913324,43.85338866,79.42923006,82.07100046
1035001,112.6104195,16.20531735,20.58736745,37.28876594,38.5289688
1035003,103.6099585,14.91009682,18.94190871,34.30843707,35.44951591
1035005,20.09405256,2.891655141,3.673582296,6.653757492,6.87505763
1035010,358.5532503,51.59797142,65.55048409,118.7279852,122.6768096
1035009,0,0,0,0,0
1035008,0,0,0,0,0
913002106,0,0,0,0,0
1034022,91.56456716,13.36640782,13.9459304,30.24733966,34.00488927
1034020,107.316234,15.66580385,16.34502052,35.45072816,39.85468141
1034017,113.3351635,16.54443486,17.26174602,37.43901482,42.08996784
1034015,187.6113159,27.38711533,28.57452872,61.97531833,69.67435354
1034007,329.7605041,48.13776244,50.22485424,108.9327267,122.4651607
1034014,183.385259,26.7702042,27.9308704,60.57928726,68.10489712
1034011,222.8284571,32.52804142,33.93834811,73.6089105,82.75315711
1034005,136.3863832,19.90940466,20.77260962,45.0537297,50.65063927
1034003,147.6558684,21.55450101,22.48903182,48.7764792,54.83585641
1034008,252.5389181,36.8651136,38.46346119,83.4234319,93.78691139
1034002,240.8852459,35.16393443,36.68852459,79.57377049,89.45901639
1034004,115.7683478,16.89962611,17.63233718,38.24279028,42.99359427
1034001,72.48327973,10.5809606,11.03971553,23.9440479,26.9185557
1034012,175.3173321,25.59246477,26.70206814,57.91413706,65.10866212
1034009,472.6780663,69.00057521,71.99220854,156.143959,175.5413235
1034006,30.99108427,4.524014955,4.720161058,10.23756112,11.50934714
1034010,53.53005464,7.81420765,8.153005464,17.68306011,19.87978142
1034013,922.8171621,134.7109577,140.5515727,304.842419,342.7122127
1034018,334.1146234,48.77336785,50.88801736,110.3710618,124.0821764
1034021,87.46657254,12.76819097,13.32177687,28.89361257,32.48299213
1034023,223.0845818,32.56542997,33.9773577,73.69351845,82.84827568
1034019,117.3050958,17.12395743,17.86639475,38.75043794,43.5643057
1034016,279.1758831,40.75352315,42.52045912,92.22265799,103.6792428
5070031,157.23892,18.64493123,17.16024226,29.83188996,91.60185657
5070018,52.67074206,6.245542537,5.748212298,9.992868059,30.68411917
5070041,0,0,0,0,0
5070040,0,0,0,0,0
5070043,0,0,0,0,0
5070027,42.87553065,5.084055018,4.6792136,8.134488029,24.977774
5070030,56.27950416,6.673458991,6.142053924,10.67753439,32.78645686
5070024,77.76023094,9.220580744,8.486349314,14.75292919,45.30037169
5070019,30.76040075,3.647478349,3.357030999,5.835965359,17.91992604
5070022,109.2939379,12.95975548,11.92777495,20.73560876,63.67079866
5070029,0,0,0,0,0
5070033,0,0,0,0,0
5070034,0,0,0,0,0
5070036,0,0,0,0,0
5070016,0,0,0,0,0
5070014,0,0,0,0,0
5070012,0,0,0,0,0
5070049,900.6439124,106.7957208,98.29161714,170.8731533,524.6834211
5070047,145.209713,17.21854305,15.84743684,27.54966887,84.59406426
5070050,4.983528613,0.590932247,0.543876531,0.945491594,2.903228241
5070052,3.007301749,0.356597045,0.328201355,0.570555273,1.751948076
5070051,1.288843607,0.152827305,0.140657723,0.244523688,0.75083489
5070010,0,0,0,0,0
5070008,130.430973,15.46612328,14.23456161,24.74579725,75.98449086
5070007,17.09865852,2.027508915,1.866059131,3.244014264,9.961076206
5070006,35.91577517,4.25878757,3.919661893,6.814060112,20.9232656
5070001,241.3574461,28.61946001,26.34050301,45.79113602,140.6063471
5070003,2.148072678,0.254712175,0.234429539,0.40753948,1.251391483
5070002,112.6449312,13.35710647,12.29348503,21.37137035,65.62296938
5070011,481.0823569,57.04533877,52.50283957,91.27254203,280.2616366
5070005,7.561215826,0.896586857,0.825191978,1.434538971,4.404898021
5070042,168.4088979,19.96943454,18.37927586,31.95109526,98.10909228
5070044,0.171845814,0.020376974,0.018754363,0.032603158,0.100111319
5070032,1.116997792,0.132450331,0.12190336,0.21192053,0.650723571
5070023,0,0,0,0,0
5070020,29.72932586,3.525216505,3.244504821,5.640346409,17.31925813
5070037,0,0,0,0,0
5070048,65.64510104,7.784004075,7.164166714,12.45440652,38.24252373
5070039,4.725759891,0.560366786,0.515744986,0.896586857,2.753061263
5070045,26.03464086,3.087111564,2.841286013,4.939378502,15.16686478
5070038,0,0,0,0,0
5070021,618.9026999,73.38767193,67.5438388,117.4202751,360.5509141
5070013,222.024792,26.32705043,24.23063716,42.12328069,129.3438237
5070004,0,0,0,0,0
5070015,0,0,0,0,0
5070009,312.9312277,37.10646969,34.15169525,59.3703515,182.3027113
5070025,204.2387502,24.21803362,22.28956057,38.7488538,118.9823022
5070028,0.343691628,0.040753948,0.037508726,0.065206317,0.200222637
5070035,179.3211071,21.26337239,19.57017792,34.02139582,104.466161
5070026,107.317711,12.72542028,11.71209977,20.36067244,62.5195185
920000013,0,0,0,0,0
5070017,0,0,0,0,0
5070046,2.835455935,0.336220071,0.309446992,0.537952114,1.651836758
1041008,132.9833439,22.5068522,20.19186169,41.15538689,49.1292431
1041007,202.9631035,34.35062197,30.81741514,62.81256589,74.98250053
1041005,0.436010964,0.073792958,0.066202825,0.134935695,0.161079486
1041003,17.44043854,2.951718322,2.648113009,5.397427788,6.443179422
1041002,143.6656125,24.31477968,21.81383091,44.46131141,53.07569049
1041006,30.52076745,5.165507063,4.634197765,9.44549863,11.27556399
1041004,168.5182374,28.52097828,25.58739195,52.152646,62.25722117
1041001,337.4724858,57.11574953,51.24098672,104.4402277,124.6755218
3092010,99.32537019,23.74861511,11.3745872,32.22006498,31.98210291
3092012,395.4672686,94.55590178,45.28829765,128.2852615,127.3378076
3092007,45.79972302,10.95067647,5.244913178,14.8569298,14.74720358
3092009,320.542479,76.64144562,36.70802706,103.9804783,103.212528
3092005,83.87352189,20.05409076,9.605065516,27.2076542,27.00671141
3092002,96.37951422,23.04426334,11.03723234,31.26446149,31.03355705
3092003,592.1726324,141.587994,67.81469053,192.0943326,190.6756152
3093004,0,0,0,0,0
3092018,0.055582188,0.013289656,0.006365186,0.018030255,0.017897092
3092024,0,0,0,0,0
3092026,6.781026952,1.621338021,0.776552679,2.199691062,2.18344519
3092022,220.7724513,52.78651326,25.28251838,71.6161713,71.08724832
3092016,0.222328753,0.053158624,0.025460744,0.072121018,0.071588367
3093006,0,0,0,0,0
3092017,0.555821881,0.132896559,0.063651859,0.180302546,0.178970917
3092011,0,0,0,0,0
3092015,0,0,0,0,0
3092030,0,0,0,0,0
3092001,0,0,0,0,0
3093008,0,0,0,0,0
3092006,0,0,0,0,0
3093009,0,0,0,0,0
3092013,0,0,0,0,0
3092008,218.6603281,52.28150634,25.04064131,70.93102163,70.40715884
3092029,0,0,0,0,0
3092027,0,0,0,0,0
3092025,0,0,0,0,0
3092021,0,0,0,0,0
3092023,0,0,0,0,0
3092019,0,0,0,0,0
3092020,0,0,0,0,0
3092014,0,0,0,0,0
3092028,0,0,0,0,0
3092004,6.391951635,1.528310429,0.731996378,2.07347928,2.058165548
914002203,0,0,0,0,0
914002202,0,0,0,0,0
914002204,0,0,0,0,0
914002201,0,0,0,0,0
914002205,0,0,0,0,0
2054014,171.3609564,21.31460172,21.9477087,47.65185215,80.4467938
2054020,398.3564429,49.54926199,51.02102224,110.7744887,187.01167
2054015,175.3230594,21.80742488,22.45517017,48.75362908,82.30683528
2054007,47.54523645,5.913877933,6.089537673,13.22132314,22.3204977
2054009,235.4149555,29.28190949,30.15166917,65.4639125,110.5174643
2054012,55.3043549,6.878989956,7.083316391,15.37896963,25.96307892
2054006,193.9779612,24.12780059,24.84446794,53.94116212,91.06453056
2054010,1.981051519,0.246411581,0.253730736,0.550888464,0.930020738
2054016,36.15419022,4.497011345,4.630585939,10.05371447,16.97287846
2054017,194.1430488,24.14833489,24.86561217,53.98706949,91.14203229
2054024,65.20961249,8.111047859,8.351970073,18.13341195,30.61318261
2054027,89.14731834,11.08852112,11.41788314,24.78998089,41.85093319
2054033,424.2752003,52.77314683,54.34066604,117.9819461,199.1794413
2054031,262.3242386,32.62900012,33.59817834,72.94681413,123.150246
2054036,0,0,0,0,0
2054039,0,0,0,0,0
2054021,269.4230065,33.51197495,34.50738015,74.92083113,126.4828203
2054026,6.933680316,0.862440532,0.888057577,1.928109625,3.255072582
2054035,0.330175253,0.041068597,0.042288456,0.091814744,0.155003456
2054038,15.84841215,1.971292644,2.029845891,4.407107714,7.440165901
2054023,0,0,0,0,0
2054018,1.981051519,0.246411581,0.253730736,0.550888464,0.930020738
2054008,312.8410523,38.91249543,40.06831212,86.99446997,146.8657748
2054011,104.9957305,13.05981377,13.44772903,29.1970886,49.29109909
2054003,104.9957305,13.05981377,13.44772903,29.1970886,49.29109909
2054001,2.806489652,0.349083072,0.359451877,0.780425324,1.317529378
2054037,221.5475948,27.55702842,28.37555402,61.60769325,104.0073192
2054040,0,0,0,0,0
2054004,0.990525759,0.12320579,0.126865368,0.275444232,0.465010369
2054005,0,0,0,0,0
2054034,207.350059,25.79107876,26.55715041,57.65965925,97.34217054
2054022,0.49526288,0.061602895,0.063432684,0.137722116,0.232505184
2054030,59.92680844,7.453950311,7.675354776,16.66437604,28.13312731
2054025,0.49526288,0.061602895,0.063432684,0.137722116,0.232505184
2054013,329.349815,40.96592526,42.18273492,91.58520717,154.6159476
2054019,69.17171553,8.60387102,8.859431546,19.23518887,32.47322409
2054032,0,0,0,0,0
2054029,0,0,0,0,0
2054028,0,0,0,0,0
2054002,0,0,0,0,0
912001003,0,0,0,0,0
912001001,0,0,0,0,0
1012019,0,0,0,0,0
1012034,0,0,0,0,0
1012031,0,0,0,0,0
1012033,0,0,0,0,0
1012023,0,0,0,0,0
1012025,0,0,0,0,0
1012027,0,0,0,0,0
1012030,0,0,0,0,0
1012032,0,0,0,0,0
1013001,172.2718569,48.4700186,39.37903491,56.46460225,27.95820112
1013003,577.6780829,162.5341941,132.0494584,189.3423788,93.75205165
1013006,31.77229456,8.939380676,7.26272021,10.41383083,5.156362841
1013002,238.7048364,67.16145092,54.56472262,78.23897582,38.73968706
1013004,842.7910603,237.1257796,192.6507277,276.2370062,136.7775468
1013008,144.0068935,40.51745268,32.91804355,47.20035015,23.37104716
1013007,24.75763213,6.965751176,5.659262501,8.114673378,4.017945071
1013013,97.3800197,27.39862129,22.25976584,31.91771529,15.80391728
1013010,39.1995842,11.02910603,8.96049896,12.84823285,6.361746362
1013017,6.808348835,1.915581573,1.556297188,2.231535179,1.104934894
1013016,40.2311522,11.31934566,9.196301565,13.18634424,6.52916074
1013015,183.2064777,51.5465587,41.87854251,60.048583,29.73279352
1013011,365.5877011,102.8609257,83.56844294,119.8266769,59.33165554
1013014,615.4334719,173.1569647,140.6798337,201.7172557,99.87941788
1013012,70.55925156,19.85239085,16.12889813,23.12681913,11.45114345
1013005,218.8987307,61.58884998,50.03731262,71.74723712,35.525331
1013009,101.7126053,28.61762775,23.25013678,33.33778313,16.50705766
1042013,48.15268615,6.135721018,7.719132893,15.07068803,19.2271442
1042012,287.6028618,36.64698826,46.10427555,90.01310942,114.8384886
1042010,275.9294833,35.15954074,44.23297061,86.35960929,110.1773627
1042005,23.78450861,3.030674321,3.812783823,7.444006512,9.497043955
1042006,86.67483506,11.04429783,13.89443921,27.12723845,34.60885957
1042007,91.63602091,11.67646303,14.68974381,28.67997601,36.58983806
1042004,70.91577414,9.036243681,11.36817753,22.19501328,28.31633965
1042002,130.7418387,16.65941222,20.95861537,40.91920144,52.20460972
1042001,152.1916717,19.39259704,24.39713821,47.63250793,60.7694285
1042003,111.1889298,14.16793762,17.82417959,34.79958872,44.39722389
