varialbe_names,ltotals
variable_categories,1
geo,
1041003,5.600337339
1041002,46.13277883
1041006,9.800590344
1041004,54.11325954
1041001,108.3665275
3092010,1373.671239
3092012,5469.317776
3092007,633.4108007
3092009,4433.106903
3092005,1159.971964
3092002,1332.93001
3092003,8189.755668
3093004,0
3092018,0.768702428
3092024,0
3092026,93.78169622
3092022,3053.286044
3092016,3.074809712
3093006,0
3092017,7.68702428
3092011,0
3092015,0
3092030,0
3092001,0
3093008,0
3092006,0
3093009,0
3092013,0
3092008,3024.075352
3092029,0
3092027,0
3092025,0
3092021,0
3092023,0
3092019,0
3092020,0
3092014,0
3092028,0
3092004,88.40077923
914002203,0
914002202,0
914002204,0
914002201,0
914002205,0
2054014,79.3102431
2054020,184.3695728
2054015,81.14400595
2054007,22.00515415
2054009,108.9560758
2054012,25.59627306
2054006,89.77797268
2054010,0.916881423
2054016,16.73308597
2054017,89.85437946
2054024,30.18068018
2054027,41.25966404
2054033,196.3654381
2054031,121.4103818
2054036,0
2054039,0
2054021,124.6958735
2054026,3.209084981
2054035,0.152813571
2054038,7.335051385
2054023,0
2054018,0.916881423
2054008,144.7908581
2054011,48.59471542
2054003,48.59471542
2054001,1.298915349
2054037,102.5379058
2054040,0
2054004,0.458440712
2054005,0
2054034,95.96692229
2054022,0.229220356
2054030,27.73566305
2054025,0.229220356
2054013,152.4315366
2054019,32.01444302
2054032,0
2054029,0
2054028,0
2054002,0
912001003,0
912001001,0
1012019,0
1012034,0
1012031,0
1012033,0
1012023,0
1012025,0
1012027,0
1012030,0
1012032,0
1013001,305.0723985
1013003,1022.997264
1013006,56.26484955
1013002,422.7170839
1013004,1492.479938
1013008,255.0186038
1013007,43.84273991
1013013,172.4481103
1013010,69.41767152
1013017,12.05675347
1013016,71.24445235
1013015,324.4362753
1013011,647.4111259
1013014,1089.857443
1013012,124.9518087
1013005,387.642892
1013009,180.1205898
1042013,114.6475024
1042012,684.7582641
1042010,656.9649302
1042005,56.62891783
1042006,206.3655042
1042007,218.1776712
1042004,168.8445035
1042002,311.2853397
1042001,362.3555908
1042003,264.7315054
1042009,846.6544341
1042011,20.84500043
1042008,142.4408363
3090046,0
3090037,1197.480989
3090039,2886.826703
3090036,1953.878004
3090035,1436.032428
3090028,1732.450306
3090021,424.5507056
3090026,514.8932062
3090027,712.7019494
3090029,548.5502163
3090034,754.0351197
3090055,1339.785189
3090056,680.2258871
3090054,619.4070795
3090053,617.6356579
3090050,2100.315521
3090040,9.447581766
3090014,0
3090031,6092.509291
3090006,158.2469946
3090017,0
3090030,272.7989235
3090022,1390.565941
3090020,248.5894952
3090018,178.3231058
3090016,165.9231548
3090051,824.3015091
3090041,8141.453587
3090047,988.4532422
3090052,479.4647746
3090049,0
3090042,30.70464074
3090033,1115.995596
3090025,1504.527396
3090023,376.131849
3090024,406.8364898
3090019,2.952369302
3090015,0
3090011,0
3090010,0
3090012,0
3090009,0
3090007,0
3090005,0
3090008,0
3090004,0
3090001,0
3090003,0
3090002,0
3090013,0
3090032,924.0915915
3090038,460.5696111
3090043,2095.59173
3090045,6172.223262
3090048,119.2757198
3090044,2266.238676
914002104,0
914002101,0
914001001,0
914002102,0
914002207,0
914002208,0
914002103,0
914002105,0
914002206,0
3093007,0
3093002,0
3093001,56.85849057
3093005,0
3093003,0
3094002,4.641509434
1017010,286.079844
1017008,350.7763458
1017011,198.3857576
1017009,106.395419
1017001,19.96493611
1017002,120.8004995
1017003,0.505441421
1017007,3.032648523
1017005,129.3930037
1017006,228.9649635
1017012,78.59614089
1017004,0
912001008,0
1012004,0
1012026,0
1012014,0
1012015,0
1012020,0
1012028,0
1012024,0
1012009,0
1012022,0
1012012,0
1012005,0
1012007,0
1012018,0
1012013,0
1012029,0
1020001,0
1020002,24.295
1020003,0
