hid,sample_geo,hhldsize,hhldrtype,hhldrage,tazinc
2008000028068,400,1,1,4,2
2008000028189,700,2,3,3,2
2008000028269,808,2,3,4,2
2008000028302,502,1,1,3,1
2008000028354,820,3,3,3,3
2008000028367,700,2,3,2,3
2008000028518,902,2,3,3,3
2008000028548,600,1,1,4,2
2008000028597,808,4,4,2,1
2008000028651,814,3,4,2,2
2008000028933,700,2,3,3,3
2008000028971,814,3,4,3,3
2008000029077,819,1,1,3,2
2008000029082,501,3,3,3,2
2008000029212,400,1,1,3,1
2008000029259,901,3,2,2,1
2008000029283,801,4,4,2,3
2008000029287,818,4,4,1,2
2008000029299,300,1,1,3,2
2008000029480,810,4,4,1,2
2008000029483,102,2,3,3,2
2008000029569,819,1,1,4,2
2008000029626,400,1,1,3,1
2008000029726,802,4,4,2,2
2008000029810,819,4,4,2,2
2008000029900,819,1,1,4,2
2008000029942,806,2,3,3,3
2008000029969,502,3,4,2,2
2008000030049,502,1,1,3,2
2008000030183,803,1,1,3,1
2008000030312,819,2,3,2,2
2008000030507,901,3,4,2,3
2008000030510,813,1,1,4,1
2008000030568,501,1,1,4,1
2008000030598,804,3,3,2,2
2008000030606,400,2,3,3,2
2008000030686,903,1,1,2,3
2008000030694,807,1,1,2,1
2008000030697,1000,1,1,2,2
2008000030748,818,1,1,3,2
2008000030952,904,2,2,2,2
2008000031033,809,1,1,4,1
2008000031046,817,1,1,3,2
2008000031116,807,2,3,3,3
2008000031246,815,2,3,3,2
2008000031421,400,2,3,4,2
2008000031532,502,4,4,2,2
2008000031578,400,2,3,4,2
2008000031604,807,3,3,3,2
2008000031670,821,2,3,2,3
2008000031681,819,2,3,2,2
2008000031738,904,3,3,3,3
2008000032077,103,2,3,3,2
2008000032093,103,5,4,3,3
2008000032119,819,2,3,3,2
2008000032410,501,4,3,3,3
2008000032478,901,1,1,2,2
2008000032479,101,2,3,3,2
2008000032627,501,5,4,2,2
2008000032661,811,3,3,3,3
2008000032769,804,4,4,3,3
2008000032773,400,2,3,4,2
2008000032881,809,1,1,3,2
2008000032934,818,1,1,3,2
2008000033005,807,4,4,2,2
2008000033108,600,3,4,3,3
2008000033351,101,1,1,4,2
2008000033365,807,6,4,3,3
2008000033482,809,1,1,2,3
2008000033503,904,2,3,4,2
2008000033507,400,2,3,4,2
2008000033549,501,1,1,4,1
2008000033552,821,4,4,2,3
2008000033610,809,3,2,3,1
2008000033646,804,2,3,3,2
2008000033706,300,2,3,2,1
2008000033763,103,2,3,1,2
2008000033782,801,2,3,3,3
2008000033814,821,2,3,2,3
2008000033879,809,1,1,3,3
2008000033935,801,2,3,2,2
2008000034098,102,1,1,3,1
2008000034126,818,3,3,3,2
2008000034153,903,2,3,2,2
2008000034261,808,3,4,3,2
2008000034301,809,1,1,2,2
2008000034356,812,1,1,4,1
2008000034480,818,5,4,3,3
2008000034590,904,2,3,1,2
2008000034593,806,3,3,1,2
2008000034663,902,2,3,3,2
2008000034739,812,1,1,3,1
2008000034864,807,4,2,2,2
2008000034955,400,2,3,2,1
2008000034982,821,1,1,4,2
2008000034983,102,1,1,3,2
2008000035009,816,6,4,2,2
2008000035134,811,2,3,3,3
2008000035237,812,4,4,3,2
2008000035249,300,2,3,4,2
2008000035310,822,6,4,2,3
2008000035327,300,3,4,2,2
2008000035387,818,3,4,3,2
2008000035422,102,2,3,4,2
2008000035505,816,2,2,3,2
2008000035523,102,2,3,4,2
2008000035559,102,2,3,2,3
2008000035634,902,1,1,4,2
2008000035818,300,3,3,2,3
2008000035864,806,3,4,2,2
2008000036022,501,2,3,3,3
2008000036096,902,7,4,2,3
2008000036097,804,2,3,4,2
2008000036176,901,4,4,2,3
2008000036202,808,3,4,3,2
2008000036267,814,2,3,3,2
2008000036342,904,3,3,3,2
2008000036453,814,1,1,3,2
2008000036624,807,3,4,3,3
2008000036674,300,2,3,4,2
2008000036781,806,6,3,3,2
2008000036883,821,5,4,2,2
2008000037012,807,4,4,2,2
2008000037032,200,2,3,4,2
2008000037101,502,4,4,3,1
2008000037167,300,6,4,2,2
2008000037221,812,1,1,3,3
2008000037301,502,1,1,4,2
2008000037442,103,5,4,2,2
2008000037457,902,2,3,3,2
2008000037516,815,1,1,2,2
2008000037561,805,1,1,3,2
2008000037648,902,1,1,4,1
2008000037722,819,4,4,2,2
2008000037842,807,1,1,3,2
2008000038002,805,2,3,4,2
2008000038052,103,2,2,1,1
2008000038119,1000,3,4,2,2
2008000038124,810,2,3,4,2
2008000038241,822,2,3,2,2
2008000038289,901,2,3,3,3
2008000038366,502,4,4,1,2
2008000038434,809,2,3,3,3
2008000038454,812,2,3,4,2
2008000038511,822,1,1,3,2
2008000038633,200,1,1,1,1
2008000038636,1000,1,1,4,2
2008000038686,102,7,4,2,3
2008000038715,502,1,1,4,1
2008000038749,502,2,3,4,2
2008000038946,817,1,1,4,2
2008000038954,103,2,3,2,2
2008000039017,400,2,3,4,3
2008000039018,902,1,1,4,1
2008000039145,102,1,1,3,2
2008000039210,815,2,3,1,2
2008000039234,818,2,3,4,1
2008000039288,804,3,3,3,2
2008000039549,803,2,2,2,1
2008000039606,502,3,2,2,2
2008000039625,400,1,1,4,2
2008000039645,822,7,3,3,2
2008000039673,802,2,3,2,3
2008000039688,819,3,3,3,3
2008000039807,904,3,4,2,3
2008000039967,807,6,4,2,2
2008000039971,818,1,1,3,2
2008000040045,816,2,3,2,1
2008000040127,805,4,3,3,2
2008000040206,903,1,1,4,1
2008000040274,805,4,4,3,3
2008000040314,903,4,3,3,2
2008000040318,901,1,1,2,2
2008000040326,600,5,4,2,2
2008000040404,904,2,3,3,2
2008000040487,812,1,1,1,1
2008000040553,102,2,3,3,3
2008000040560,502,2,3,3,2
2008000040620,400,2,3,4,2
2008000040628,815,1,1,4,1
2008000040642,502,2,3,4,2
2008000040742,902,4,4,3,3
2008000040871,812,4,4,2,2
2008000040891,700,2,3,2,2
2008000040911,502,2,3,4,2
2008000040935,600,2,3,3,3
2008000040938,806,4,4,2,2
2008000040999,801,2,3,3,3
2008000041498,102,2,3,4,2
2008000041507,820,1,1,4,2
2008000041546,502,5,4,2,2
2008000041555,801,3,4,3,3
2008000041579,502,2,3,2,2
2008000041590,820,2,3,4,2
2008000041711,400,1,1,3,1
2008000041719,901,2,3,3,2
2008000041946,810,1,1,3,2
2008000041948,805,1,1,4,1
2008000042002,902,7,4,3,2
2008000042051,905,1,1,4,2
2008000042079,818,5,4,3,2
2008000042144,822,2,3,3,2
2008000042339,903,3,3,3,3
2008000042354,1000,3,3,3,2
2008000042409,200,1,1,3,2
2008000042518,300,2,2,2,2
2008000042524,822,3,3,3,3
2008000042581,200,2,3,1,1
2008000042614,300,3,4,3,2
2008000042754,400,3,4,2,2
2008000042765,804,2,3,3,3
2008000042902,804,3,3,3,3
2008000043050,600,3,4,3,3
2008000043079,600,2,3,2,2
2008000043082,816,1,1,3,2
2008000043224,807,3,4,2,3
2008000043245,400,6,4,2,2
2008000043296,805,5,4,2,2
2008000043354,502,4,3,3,1
2008000043429,200,2,3,1,3
2008000043561,902,1,1,3,2
2008000043650,901,2,3,3,3
2008000043655,822,4,4,2,3
2008000043855,300,2,3,4,2
2008000043973,813,1,1,2,1
2008000043974,400,3,3,3,3
2008000044131,802,1,1,4,1
2008000044140,103,3,4,2,2
2008000044228,501,1,1,2,2
2008000044422,820,1,1,2,2
2008000044443,819,4,4,2,3
2008000044451,803,3,4,3,2
2008000044464,102,2,3,3,2
2008000044503,103,3,3,3,3
2008000044535,807,3,3,4,2
2008000044591,813,1,1,3,2
2008000044655,804,3,3,2,3
2008000044714,1000,2,3,4,2
2008000044767,803,1,1,3,2
2008000044777,820,2,3,2,2
2008000044779,820,3,3,3,2
2008000044793,805,2,3,2,3
2008000044839,901,5,4,2,3
2008000044854,807,1,1,2,3
2008000044858,822,2,3,3,2
2008000044981,803,2,3,3,3
2008000045095,904,3,4,2,3
2008000045187,820,2,3,2,3
2008000045210,822,5,4,3,3
2008000045270,502,2,3,4,1
2008000045271,901,6,4,3,3
2008000045279,811,3,3,4,3
2008000045307,818,3,4,3,2
2008000045313,820,1,1,4,1
2008000045357,904,4,4,2,2
2008000045388,801,5,4,3,3
2008000045423,905,2,3,4,2
2008000045448,200,2,3,3,3
2008000045459,103,2,3,4,2
2008000045534,101,2,3,4,2
2008000045553,822,5,4,3,3
2008000045866,801,3,3,3,3
2008000045936,822,4,4,2,3
2008000045989,400,2,3,3,3
2008000046119,816,3,3,3,2
2008000046134,300,2,3,4,2
2008000046234,811,2,3,3,3
2008000046481,400,2,3,4,2
2008000046495,805,4,4,3,2
2008000046620,501,1,1,3,2
2008000046633,816,4,3,2,2
2008000046839,803,4,3,3,3
2008000046874,400,1,1,4,2
2008000047087,802,2,3,3,3
2008000047164,822,3,4,3,2
2008000047180,1000,3,3,3,2
2008000047206,904,5,4,2,2
2008000047211,822,2,3,4,3
2008000047316,819,1,1,4,2
2008000047339,905,2,3,3,2
2008000047384,811,1,1,4,2
2008000047534,814,2,3,3,3
2008000047608,805,6,4,2,2
2008000047655,502,6,3,3,2
2008000047727,400,3,4,2,2
2008000047736,806,1,1,2,1
2008000047816,1000,1,1,4,2
2008000047845,901,1,1,4,2
2008000047906,103,6,2,2,2
2008000047956,102,6,4,2,2
2008000047962,501,2,3,3,2
2008000047996,810,1,1,4,1
2008000048102,502,1,1,4,2
2008000048143,822,4,3,3,2
2008000048245,1000,5,4,2,2
2008000048269,804,5,4,2,3
2008000048284,300,2,3,3,3
2008000048289,810,1,1,2,2
2008000048424,818,2,3,2,2
2008000048438,817,2,3,3,2
2008000048443,815,1,1,2,1
2008000048444,1000,2,3,3,2
2008000048520,822,6,4,2,2
2008000048572,102,5,3,2,2
2008000048844,806,2,3,2,2
2008000048849,806,3,3,3,2
2008000048856,1000,4,3,3,3
2008000049013,700,1,1,4,1
2008000049038,811,3,3,3,2
2008000049232,805,2,3,3,2
2008000049242,300,7,4,2,2
2008000049288,822,2,3,3,3
2008000049429,400,2,3,2,2
2008000049440,501,1,1,4,1
2008000049638,400,4,4,2,3
2008000049656,803,2,3,2,3
2008000049999,300,2,3,3,2
2008000050043,200,2,3,4,2
2008000050045,817,3,3,4,2
2008000050081,803,2,3,2,3
2008000050083,400,3,3,3,2
2008000050201,700,2,3,2,1
2008000050236,802,5,4,2,2
2008000050287,813,1,1,2,2
2008000050315,802,2,3,3,3
2008000050321,809,1,1,2,2
2008000050340,802,1,1,4,2
2008000050459,816,3,3,1,2
2008000050487,817,1,1,4,2
2008000050535,300,4,4,2,3
2008000050643,502,4,4,3,2
2008000050726,200,3,4,2,2
2008000050747,600,2,3,4,3
2008000050830,810,2,3,2,2
2008000050862,901,5,4,2,3
2008000050952,804,3,2,2,2
2008000051188,102,2,2,3,1
2008000051274,901,4,4,2,2
2008000051371,804,2,3,4,2
2008000051372,814,3,3,3,3
2008000051453,400,3,3,4,2
2008000051515,300,3,4,2,2
2008000051523,200,5,4,2,2
2008000051526,103,2,3,4,2
2008000051593,300,5,4,2,3
2008000051702,904,3,3,3,3
2008000051795,804,4,4,2,2
2008000051854,809,2,3,4,2
2008000051879,807,3,3,2,2
2008000051889,903,1,1,3,1
2008000052040,813,2,3,4,1
2008000052067,821,2,3,2,2
2008000052169,802,1,1,4,2
2008000052215,400,2,3,4,2
2008000052245,902,1,1,4,1
2008000052342,814,1,1,2,1
2008000052405,400,1,1,4,1
2008000052425,808,4,3,3,2
2008000052509,808,3,4,3,3
2008000052532,802,1,1,3,2
2008000052602,803,2,3,3,3
2008000052664,815,2,3,3,2
2008000052708,300,3,4,3,2
2008000052745,600,2,3,3,2
2008000052873,101,3,3,3,2
2008000052939,815,1,1,2,2
2008000052954,811,4,3,3,3
2008000052966,200,2,3,2,2
2008000053020,813,2,2,3,2
2008000053025,809,1,1,3,2
2008000053053,200,1,1,2,2
2008000053130,802,5,4,2,3
2008000053186,805,2,3,3,3
2008000053238,300,4,4,2,2
2008000053323,822,5,4,2,3
2008000053410,821,5,4,2,3
2008000053613,502,4,4,3,2
2008000053861,300,2,3,3,2
2008000053973,300,6,4,3,2
2008000053991,811,3,4,3,3
2008000054071,820,5,4,2,2
2008000054085,814,1,1,2,2
2008000054097,300,3,4,1,2
2008000054157,904,1,1,3,2
2008000054205,815,1,1,2,2
2008000054289,807,2,3,3,3
2008000054293,502,3,4,2,3
2008000054317,806,4,4,2,3
2008000054398,804,2,3,4,2
2008000054412,600,1,1,2,2
2008000054422,805,2,3,3,2
2008000054552,812,7,4,2,3
2008000054602,400,1,1,2,2
2008000054641,816,1,1,4,2
2008000054697,822,3,3,2,2
2008000054793,905,5,3,3,2
2008000054850,815,3,4,2,2
2008000054914,820,4,3,3,2
2008000054926,811,1,1,3,3
2008000055070,814,3,3,2,3
2008000055395,300,4,4,2,3
2008000055501,501,1,1,4,1
2008000055575,700,1,1,3,2
2008000055713,822,3,3,3,3
2008000055788,501,1,1,3,2
2008000055802,808,3,4,3,2
2008000055811,102,3,4,3,3
2008000055887,809,3,4,3,2
2008000055895,102,3,4,2,2
2008000055911,502,2,3,4,1
2008000055937,101,4,4,3,2
2008000056013,819,1,1,2,2
2008000056032,802,5,4,2,2
2008000056106,804,2,3,3,3
2008000056118,903,4,4,2,2
2008000056151,805,1,1,2,2
2008000056190,804,2,3,3,3
2008000056315,807,2,3,2,3
2008000056364,815,6,4,2,2
2008000056446,814,3,3,3,3
2008000056555,101,4,4,2,2
2008000056584,904,1,1,2,2
2008000056634,808,4,4,2,2
2008000056679,904,4,4,3,3
2008000056775,600,2,3,1,2
2008000056970,822,4,4,3,3
2008000057045,816,2,3,3,2
2008000057074,816,2,3,3,2
2008000057153,600,1,1,3,1
2008000057338,102,1,1,2,1
2008000057377,808,2,3,3,3
2008000057404,811,1,1,3,2
2008000057451,806,1,1,4,2
2008000057509,815,1,1,4,2
2008000057605,822,3,4,2,2
2008000057636,502,2,3,4,2
2008000057747,400,3,3,2,2
2008000057785,805,2,3,2,3
2008000057897,600,2,3,4,2
2008000057943,816,2,3,4,2
2008000057984,102,2,3,4,2
2008000058144,400,5,4,3,2
2008000058261,817,1,1,4,2
2008000058317,803,1,1,2,2
2008000058499,804,4,4,2,3
2008000058532,806,3,4,2,2
2008000058535,806,2,3,4,2
2008000058555,819,1,1,2,3
2008000058566,813,1,1,2,2
2008000058570,501,2,3,4,2
2008000058576,801,2,3,4,2
2008000058581,700,2,3,4,2
2008000058864,103,1,1,4,2
2008000059123,802,2,3,2,3
2008000059132,101,5,4,2,3
2008000059261,101,2,3,3,2
2008000059301,903,2,3,2,2
2008000059364,809,2,3,3,3
2008000059420,400,1,1,2,2
2008000059463,904,2,2,2,1
2008000059476,103,1,1,3,2
2008000059489,822,2,3,3,3
2008000059569,300,3,4,3,2
2008000059583,901,4,4,3,3
