hid,sample_geo,groupquarter,groupquarter_dummy,groupquarter_old
2008000442981,502,1,1,1
2008000443510,400,1,1,1
2008000444355,103,1,1,1
2008000449228,600,1,1,1
2008000450853,809,1,1,1
2008000453107,811,1,1,2
2008000453640,803,1,1,2
2008000459291,807,1,1,1
2008000459495,814,1,1,2
2008000459529,901,1,1,1
2008000463797,101,1,1,2
2008000465089,818,1,1,1
2008000465961,502,1,1,2
2008000466264,400,1,1,2
2008000466349,901,1,1,2
2008000466922,818,1,1,1
2008000467490,812,1,1,1
2008000468352,200,1,1,2
2008000472130,600,1,1,2
2008000472170,818,1,1,1
2008000472728,901,1,1,2
2008000474121,819,1,1,2
2008000475670,816,1,1,1
2008000477740,901,1,1,2
2008000479829,807,1,1,1
2008000480693,807,1,1,1
2008000480874,1000,1,1,1
2008000480942,901,1,1,1
2008000481153,807,1,1,2
2008000482559,300,1,1,2
2008000482709,807,1,1,1
2008000483128,818,1,1,2
2008000483338,812,1,1,1
2008000486019,200,1,1,1
2008000489416,1000,1,1,1
2008000489905,400,1,1,1
2008000490976,901,1,1,2
2008000491302,905,1,1,1
2008000492662,901,1,1,2
2008000493611,816,1,1,2
2008000494215,810,1,1,1
2008000494453,813,1,1,2
2008000495286,901,1,1,2
2008000496503,600,1,1,1
2008000499748,812,1,1,1
2008000499894,815,1,1,1
2008000500098,1000,1,1,1
2008000500235,400,1,1,1
2008000501162,901,1,1,2
2008000504484,400,1,1,1
2008000506638,400,1,1,1
2008000508279,803,1,1,1
2008000508367,400,1,1,1
2008000508967,901,1,1,2
2008000509719,502,1,1,1
2008000510722,803,1,1,2
2008000510727,400,1,1,1
2008000512666,816,1,1,2
2008000514520,102,1,1,1
2008000515186,803,1,1,2
2008000515610,822,1,1,1
2008000518968,300,1,1,1
2008000519673,600,1,1,2
2008000521873,901,1,1,1
2008000522628,803,1,1,2
2008000524690,807,1,1,1
2008000525138,300,1,1,1
2008000526338,819,1,1,1
2008000528648,803,1,1,1
2008000530326,300,1,1,2
2008000531165,400,1,1,1
2008000531334,818,1,1,1
2008000532177,801,1,1,1
2008000532317,805,1,1,1
2008000533672,200,1,1,1
2008000536140,502,1,1,2
2008000536486,1000,1,1,1
2008000539205,905,1,1,1
2008000541088,1000,1,1,1
2008000542584,901,1,1,2
2008000544623,801,1,1,1
2008000546290,200,1,1,2
2008000546548,1000,1,1,1
2008000547767,600,1,1,1
2008000548690,901,1,1,2
2008000549360,103,1,1,2
2008000550027,103,1,1,2
2008000550870,815,1,1,1
2008000551001,901,1,1,2
2008000552199,300,1,1,2
2008000552736,200,1,1,2
2008000552803,901,1,1,2
2008000553010,1000,1,1,1
2008000554112,300,1,1,1
2008000555930,803,1,1,2
2008000557448,400,1,1,1
2008000557451,818,1,1,2
2008000559130,600,1,1,2
2008000560347,815,1,1,1
2008000562289,811,1,1,1
2008000563161,200,1,1,2
2008000563341,300,1,1,1
2008000567288,1000,1,1,1
