varialbe_names,ptotals,psex,psex,page,page,page,page,page,page,page,page,page,pqat,pqat
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9,1,2
geo,,,,,,,,,,,,,,
2053042,484.1882126,229.8367155,254.3514971,62.73161707,91.19491796,17.53988497,31.70911589,121.9053215,91.19491796,45.37899066,17.78956305,4.74388348,296.0610027,188.1272099
2053048,1928.062293,915.2215877,1012.840705,249.8005162,363.14284,69.84472144,126.2673256,485.4332419,363.14284,180.7014679,70.83895235,18.89038729,1178.930095,749.1321972
2053041,1554.368313,737.8347893,816.5335239,201.3845758,292.7590699,56.30752817,101.7943926,391.3473399,292.7590699,145.6781957,57.10905882,15.22908235,950.4317318,603.9365814
2053053,1.241508237,0.589324912,0.652183326,0.1608503,0.233833123,0.044974064,0.081305425,0.312577748,0.233833123,0.116356386,0.045614264,0.012163804,0.759130776,0.482377461
2053056,7.449049424,3.535949469,3.913099955,0.965101801,1.402998738,0.269844384,0.487832552,1.875466485,1.402998738,0.698138318,0.273685585,0.072982823,4.554784657,2.894264767
2053057,629.4446764,298.7877302,330.6569462,81.5511022,118.5533933,22.80185046,41.22185066,158.476918,118.5533933,58.99268786,23.12643197,6.167048524,384.8793035,244.5653728
2053013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053007,65.79993658,31.23422031,34.56571627,8.52506591,12.39315552,2.383625394,4.309187545,16.56662062,12.39315552,6.166888474,2.417556004,0.644681601,40.23393114,25.56600544
2053030,26.6924271,12.6704856,14.02194151,3.458281454,5.027412144,0.966942377,1.748066645,6.720421572,5.027412144,2.501662306,0.980706681,0.261521782,16.32131169,10.37111542
2053003,1661.758776,788.8113941,872.9473816,215.2981268,312.9856351,60.19778471,108.8273119,418.3853151,312.9856351,155.7430231,61.05469268,16.28125138,1016.096544,645.6622318
2053046,1125.427217,534.2230323,591.2041849,145.8107971,211.969726,40.76898905,73.7033681,283.3517281,211.969726,105.4770642,41.34933053,11.02648814,688.1520486,437.2751686
2053052,312.8600758,148.5098777,164.3501981,40.53427565,58.92594699,11.33346414,20.48896719,78.76959238,58.92594699,29.32180935,11.49479459,3.065278556,191.3009556,121.5591202
2053055,424.5958172,201.5491198,223.0466974,55.01080266,79.97092805,15.3811299,27.80645548,106.9015897,79.97092805,39.79388412,15.60007837,4.160020898,259.6227255,164.9730917
2053044,419.0090301,198.8971577,220.1118725,54.28697631,78.918679,15.17874661,27.44058106,105.4949898,78.918679,39.27028038,15.39481418,4.105283781,256.206637,162.8023931
2053050,438.8731619,208.3263562,230.5468057,56.86058112,82.66000897,15.89833164,28.74146787,110.4962338,82.66000897,41.13198256,16.12464241,4.299904642,268.3527294,170.5204325
2053040,277.4770911,131.7141177,145.7629733,35.95004209,52.26170298,10.05170331,18.17176257,69.86112657,52.26170298,26.00565234,10.19478806,2.718610148,169.6657285,107.8113626
2053047,421.4920466,200.0758075,221.4162391,54.60867691,79.38634525,15.26869474,27.60319191,106.1201453,79.38634525,39.50299315,15.48604271,4.129611389,257.7248985,163.7671481
2053045,756.6992707,359.1935336,397.5057371,98.03825797,142.5212884,27.41169203,49.55565676,190.5161371,142.5212884,70.91921745,27.80189405,7.413838413,462.6902081,294.0090626
2053049,92.49236369,43.90470591,48.58765777,11.98334736,17.42056766,3.35056777,6.05725419,23.28704219,17.42056766,8.66855078,3.398262685,0.906203383,56.55524283,35.93712086
2053054,78.83577307,37.42213188,41.41364119,10.21399406,14.84840331,2.855853066,5.162894511,19.84868697,14.84840331,7.38863053,2.896505779,0.772401541,48.20480429,30.63096878
2053051,1126.047971,534.5176948,591.5302765,145.8912223,212.0866425,40.79147608,73.74402081,283.508017,212.0866425,105.5352424,41.37213766,11.03257004,688.531614,437.5163573
2053058,386.7298159,183.57471,203.155106,50.10486851,72.8390178,14.00942095,25.32664,97.36796836,72.8390178,36.24501433,14.20884331,3.789024882,236.4692368,150.2605792
2053018,1424.009948,675.9556736,748.0542747,184.4952943,268.206592,51.58525145,93.2573229,358.5266764,268.206592,133.4607751,52.31956108,13.95188295,870.7230003,553.286948
2053023,2033.590493,965.3142051,1068.276288,263.4727917,383.0186554,73.66751689,133.1782868,512.0023505,383.0186554,190.5917608,74.71616481,19.92431062,1243.456211,790.1342814
2053004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053006,4.96603295,2.357299646,2.608733303,0.643401201,0.935332492,0.179896256,0.325221701,1.25031099,0.935332492,0.465425545,0.182457057,0.048655215,3.036523105,1.929509845
2053024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053043,184.9847274,87.80941182,97.17531555,23.96669473,34.84113532,6.701135541,12.11450838,46.57408438,34.84113532,17.33710156,6.796525371,1.812406766,113.1104857,71.87424171
2053002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053005,517.708935,245.7484881,271.9604469,67.07457518,97.50841228,18.7541847,33.90436238,130.3449207,97.50841228,48.52061309,19.02114819,5.072306183,316.5575337,201.1514013
2053011,486.6712291,231.0153653,255.6558637,63.05331767,91.6625842,17.6298331,31.87172674,122.530477,91.6625842,45.61170343,17.88079158,4.768211088,297.5792643,189.0919648
2053017,816.2916661,387.4811294,428.8105367,105.7590724,153.7452783,29.5704471,53.45831718,205.519869,153.7452783,76.504324,29.99137873,7.997700996,499.1284854,317.1631807
2053038,3011.898984,1429.702235,1582.196748,390.2228283,567.2791563,109.1070793,197.2469619,758.3136155,567.2791563,282.2805932,110.660205,29.50938801,1841.651263,1170.247721
913002205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913002204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913002203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065002,1622.800762,821.7088978,801.0918641,191.9319523,283.4454104,45.56726016,77.20855931,394.1899574,356.7698581,181.4164308,74.93493302,17.33640043,1076.706152,546.0954503
1065003,546.0640914,276.5008085,269.5632829,64.58411262,95.37791953,15.33314816,25.98028223,132.6428888,120.0512182,61.04569382,25.2152187,5.833609383,362.3060703,183.7583041
1065001,162.6146743,82.34031429,80.27435999,19.23276883,28.40298339,4.566121327,7.736775221,39.50027202,35.75054661,18.17904853,7.508943804,1.737214559,107.8926165,54.72214203
1065005,892.0385219,451.685757,440.3527649,105.5032134,155.8073122,25.04790012,42.44082868,216.6825622,196.1130808,99.72292875,41.19103741,9.529658465,591.8553819,300.1836022
1065004,1085.436221,549.6131267,535.8230943,128.3767533,189.586992,30.47839009,51.64217864,263.6602519,238.6312206,121.3432786,50.12142737,11.59572846,720.1721152,365.2646682
1065006,589.5618438,298.5259954,291.0358484,69.72868042,102.9754254,16.55453864,28.04979,143.2088051,129.6141216,65.90840227,27.22378391,6.298296405,391.1662352,198.3959141
1065008,370.7346895,187.7223626,183.0123269,43.84754705,64.75412674,10.410005,17.63857396,90.0541181,81.5053614,41.4452382,17.11915583,3.960563233,245.9774055,124.7574761
1065007,0.66919619,0.33884903,0.33034716,0.079147197,0.116884705,0.018790623,0.031838581,0.16255256,0.147121591,0.074810899,0.030901003,0.007149031,0.444002537,0.225194
911002205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004004,11.68336789,5.915900199,5.76746769,1.381815723,2.040667643,0.328061877,0.555863679,2.837973951,2.568567628,1.306109136,0.539494688,0.124813562,0.0501586,11.63321248
1004011,68.51602186,34.69324523,33.82277662,8.103529497,11.96730516,1.923888296,3.25981073,16.64303368,15.06312541,7.659555275,3.163816304,0.731957501,0.294150435,68.22189013
1004014,204.5579496,103.5783882,100.9795614,24.19348546,35.72897754,5.743863034,9.7323251,49.68859477,44.97170101,22.86797861,9.445729023,2.185295084,0.878200576,203.6798049
1004013,102.5760096,51.93959836,50.63641124,12.13187364,17.91637015,2.880272073,4.880294677,24.91644927,22.55115307,11.46719547,4.736580478,1.095820768,0.440375506,102.1356621
1004009,178.0228429,90.14227591,87.880567,21.05512433,31.09424086,4.998773348,8.469855048,43.24302682,39.13800505,19.90156125,8.220436004,1.901820213,0.764281043,177.2586105
1004007,160.992849,81.51909935,79.47374969,19.04095226,28.11970837,4.520581459,7.659613075,39.10631902,35.39399121,17.99774115,7.434053917,1.71988858,0.691168507,160.3017245
1004012,276.2423425,139.8759454,136.3663971,32.67174465,48.2496841,7.756717263,13.14287852,67.10124851,60.73138714,30.88173297,12.75584897,2.951100331,1.185953343,275.0564645
1004015,0.792092738,0.40107798,0.391014759,0.093682422,0.138350349,0.022241483,0.037685673,0.192405014,0.174140178,0.088549772,0.036575911,0.008461936,0.003400583,0.788692371
1004016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004017,27.52522265,13.93745979,13.58776286,3.255464162,4.807674616,0.772891541,1.309577143,6.686074224,6.051371192,3.077104576,1.271012908,0.294052291,0.118170261,27.40705991
1004018,0.396046369,0.20053899,0.195507379,0.046841211,0.069175174,0.011120742,0.018842837,0.096202507,0.087070089,0.044274886,0.018287956,0.004230968,0.001700292,0.394346186
1004003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004010,189.3101644,95.85763712,93.45252732,22.39009884,33.06573333,5.315714483,9.006875891,45.98479826,41.61950258,21.1633955,8.741642736,2.022402807,0.812739352,188.4974768
1004005,272.8759483,138.171364,134.7045844,32.27359435,47.66169512,7.66219096,12.98271441,66.2835272,59.99129138,30.50539644,12.60040135,2.915137101,1.171500865,271.7045219
1004001,43.5651006,22.05928888,21.50581173,5.152533206,7.609269177,1.223281576,2.072712025,10.58227575,9.5777098,4.870237458,2.011675107,0.465406504,0.187032068,43.37808043
1004006,401.7890415,203.4468051,198.3422363,47.52040852,70.17821436,11.28199235,19.11605772,97.59744317,88.33260538,44.91687183,18.55313087,4.292317256,1.724945758,400.0642054
920000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083006,224.7899861,106.7043574,118.0856287,29.12387986,42.33829699,8.143094766,14.72132435,56.59595757,42.33829699,21.06772205,8.259010706,2.202402855,224.7899861,0
2083004,78.62219804,37.32075109,41.30144695,10.1863232,14.8081773,2.848116237,5.148907645,19.79491463,14.8081773,7.368613894,2.888658817,0.770309018,78.62219804,0
2083002,68.84872039,32.68143121,36.16728918,8.92006755,12.96738178,2.494068638,4.508850065,17.33422082,12.96738178,6.452625979,2.529571395,0.674552372,68.84872039,0
2083005,168.7553809,80.10559006,88.64979083,21.86401415,31.78440266,6.113221868,11.05166089,42.48797974,31.78440266,15.816058,6.20024282,1.653398085,168.7553809,0
2083003,1.954695531,0.927863977,1.026831554,0.253251129,0.368159104,0.07080952,0.128011516,0.492138761,0.368159104,0.183197583,0.071817484,0.019151329,1.954695531,0
2083001,24.75947673,11.75294371,13.00653302,3.207847636,4.663348654,0.896920583,1.621479203,6.233757646,4.663348654,2.320502718,0.909688136,0.242583503,24.75947673,0
6075019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6075002,82.77632903,39.99297556,42.78335347,11.42936761,14.02695115,2.078066838,5.88785604,22.51239074,15.23915681,8.658611823,2.770755783,0.173172236,78.19206002,4.584269006
6075012,0.876758625,0.42360161,0.453157015,0.121058722,0.148572068,0.022010677,0.062363584,0.238448998,0.16141163,0.091711153,0.029347569,0.001834223,0.828202505,0.04855612
6075005,1.031480736,0.498354836,0.5331259,0.142422026,0.174790669,0.025894914,0.073368923,0.280528234,0.189896035,0.107895474,0.034526552,0.002157909,0.974355888,0.057124847
6075018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
