varialbe_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo
5132,21.50147357396951,0.0,21.50147357396951
5133,106.48348817584888,103.41184909385323,3.0716390819956403
5134,0.0,0.0,0.0
5135,0.0,0.0,0.0
5136,8.191037551988384,0.0,8.191037551988384
5137,0.0,0.0,0.0
5138,93.17305215386781,0.0,93.17305215386781
5139,0.0,0.0,0.0
5140,156.65359318177778,156.65359318177778,0.0
5141,9.214917245986928,0.0,9.214917245986928
5142,6.143278163991283,0.0,6.143278163991283
5143,0.0,0.0,0.0
5144,6.143278163991288,0.0,6.143278163991288
5145,9.214917245986925,0.0,9.214917245986925
5146,0.0,0.0,0.0
5147,158.70135256977485,146.4147962417923,12.28655632798257
5148,0.0,0.0,0.0
5149,0.0,0.0,0.0
5150,34.81190959595061,34.81190959595061,0.0
5151,11.262676633984022,11.262676633984022,0.0
