hid,sample_geo,gqtype,gqrtotals,gqtotals
481072,302,2,1,1
481226,104,2,1,1
481449,304,1,1,1
482336,1300,2,1,1
483012,300,1,1,1
483621,500,1,1,1
483688,104,1,1,1
483767,304,1,1,1
483875,1500,1,1,1
484101,105,1,1,1
484908,905,2,1,1
486207,105,1,1,1
486674,500,1,1,1
486942,1300,2,1,1
487080,302,2,1,1
487352,904,2,1,1
488655,300,1,1,1
488743,100,2,1,1
489075,1300,2,1,1
489135,1100,2,1,1
489641,1300,1,1,1
490369,905,2,1,1
490464,1300,2,1,1
491135,904,2,1,1
491204,100,1,1,1
491317,100,2,1,1
492131,1300,2,1,1
492432,304,2,1,1
493286,302,2,1,1
494463,1101,1,1,1
495414,901,1,1,1
495597,1300,2,1,1
496262,306,1,1,1
496454,302,2,1,1
496640,901,1,1,1
497087,1500,2,1,1
497113,100,1,1,1
497473,700,2,1,1
497659,303,2,1,1
498570,303,1,1,1
499550,302,2,1,1
499802,1300,2,1,1
501307,101,2,1,1
501656,303,1,1,1
502256,101,2,1,1
503498,103,2,1,1
503873,1100,2,1,1
503875,903,2,1,1
505272,903,2,1,1
505517,903,1,1,1
505795,904,2,1,1
506335,900,2,1,1
506829,303,1,1,1
508611,302,2,1,1
508778,903,2,1,1
509674,1500,2,1,1
510185,901,1,1,1
511838,1300,2,1,1
512637,700,2,1,1
514113,100,2,1,1
514505,905,1,1,1
514820,905,2,1,1
517084,104,1,1,1
517089,1300,1,1,1
517435,300,1,1,1
517519,1500,1,1,1
517838,304,2,1,1
518610,1101,2,1,1
519446,901,1,1,1
520540,305,2,1,1
520574,100,1,1,1
521133,300,1,1,1
521359,1100,2,1,1
521409,101,1,1,1
521517,903,2,1,1
522326,900,1,1,1
522959,101,1,1,1
523371,902,1,1,1
525849,1300,2,1,1
525862,306,1,1,1
525919,302,2,1,1
526027,1300,2,1,1
526483,1101,1,1,1
527189,1300,2,1,1
527771,305,2,1,1
528369,1100,1,1,1
529283,906,2,1,1
529953,103,2,1,1
530787,103,1,1,1
530799,1300,2,1,1
531048,104,1,1,1
531745,1101,2,1,1
536343,903,2,1,1
536979,1300,1,1,1
537438,904,1,1,1
538118,1300,2,1,1
538724,102,2,1,1
539686,900,1,1,1
540626,104,2,1,1
541123,905,2,1,1
542084,105,1,1,1
542403,303,1,1,1
542408,1500,2,1,1
542419,904,2,1,1
543974,1101,2,1,1
543996,1300,2,1,1
544347,905,2,1,1
544509,104,2,1,1
544896,700,2,1,1
545492,102,2,1,1
545862,301,1,1,1
546021,905,2,1,1
547684,302,2,1,1
548360,1300,1,1,1
549800,101,2,1,1
550400,302,2,1,1
550554,303,1,1,1
550892,1101,1,1,1
551218,301,1,1,1
551766,303,1,1,1
553483,700,2,1,1
554220,1500,2,1,1
555468,104,2,1,1
555563,902,1,1,1
556625,303,2,1,1
557854,1500,2,1,1
557880,1500,2,1,1
558363,902,2,1,1
558431,901,1,1,1
559600,302,1,1,1
561652,105,1,1,1
563231,305,1,1,1
563400,305,2,1,1
563990,102,2,1,1
565748,304,1,1,1
566857,700,2,1,1
567394,1300,1,1,1
569182,1300,2,1,1
569261,1300,2,1,1
569381,900,2,1,1
569496,302,2,1,1
569957,104,1,1,1
570088,104,2,1,1
571287,902,2,1,1
571461,1300,2,1,1
572639,902,1,1,1
573168,1101,2,1,1
573525,700,1,1,1
574539,300,1,1,1
574987,104,2,1,1
576213,300,1,1,1
576251,900,1,1,1
576320,1300,2,1,1
576476,300,1,1,1
576726,302,2,1,1
577212,1300,2,1,1
577821,903,2,1,1
578032,1101,1,1,1
578977,1101,1,1,1
580103,905,2,1,1
582903,303,1,1,1
583029,1100,2,1,1
583135,300,2,1,1
584171,1300,1,1,1
586065,301,2,1,1
586239,904,2,1,1
587435,105,1,1,1
587765,101,2,1,1
588339,904,2,1,1
588554,103,2,1,1
589334,303,2,1,1
589875,300,2,1,1
590395,500,2,1,1
590573,900,2,1,1
590778,500,2,1,1
590959,905,2,1,1
591422,903,2,1,1
