hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
20227,2600,6,2,1,1
20248,101,8,2,1,1
20368,1003,4,1,1,1
20390,1700,11,2,1,1
20408,800,16,5,1,1
20476,2103,2,3,1,1
20486,1103,15,4,1,1
20518,1600,10,4,1,1
20529,304,2,1,1,1
20597,306,14,4,1,1
20613,1903,13,3,1,1
20637,101,4,4,1,1
20661,1700,14,2,1,1
20690,2002,14,4,1,1
20691,1503,11,4,1,1
20707,2201,15,4,1,1
20735,702,11,4,1,1
20776,2103,12,1,1,1
20814,304,1,1,1,1
20916,2104,12,1,1,1
20917,1600,15,5,1,1
20927,1600,15,4,1,1
20946,902,1,3,1,1
21022,2101,4,1,1,1
21095,2201,12,2,1,1
21215,2104,13,4,1,1
21252,1700,12,1,1,1
21295,2201,13,2,1,1
21312,502,16,3,1,1
21375,907,1,3,1,1
21451,906,15,4,1,1
21532,2002,13,3,1,1
21553,1902,16,2,1,1
21606,2001,11,2,1,1
21654,2201,13,4,1,1
21676,307,12,2,1,1
21762,2003,1,1,1,1
21818,503,14,2,1,1
21827,1103,10,7,1,1
21844,2303,15,2,1,1
21893,902,16,4,1,1
21903,1600,16,2,1,1
21989,1101,11,1,1,1
21996,2003,16,2,1,1
22007,2003,5,1,1,1
22069,902,16,4,1,1
22087,602,11,5,1,1
22123,1002,8,1,1,1
22143,2102,14,2,1,1
22166,800,15,3,1,1
22320,1201,11,2,1,1
22343,1106,15,4,1,1
22366,101,2,3,1,1
22386,303,2,2,1,1
22397,2301,16,4,1,1
22443,2104,3,1,1,1
22449,1106,6,2,1,1
22514,2303,11,4,1,1
22532,800,16,2,1,1
22698,2600,1,1,1,1
22731,2500,12,5,1,1
22787,2201,16,6,1,1
22831,2103,12,6,1,1
22852,1101,13,1,1,1
22883,308,15,2,1,1
22892,308,1,1,1,1
22901,1504,12,3,1,1
23008,2001,1,5,1,1
23031,1301,9,3,1,1
23116,2003,15,5,1,1
23123,1504,16,3,1,1
23181,2303,12,4,1,1
23231,2003,4,1,1,1
23290,2003,7,1,1,1
23357,1002,11,1,1,1
23393,702,13,1,1,1
23446,602,2,1,1,1
23515,1102,11,1,1,1
23585,1003,16,1,1,1
23632,903,2,1,1,1
23708,400,3,1,1,1
23751,1504,16,3,1,1
23763,902,14,3,1,1
23873,2201,11,1,1,1
23880,1105,4,1,1,1
23926,2600,11,5,1,1
23959,1503,13,5,1,1
24044,2302,13,2,1,1
24082,1102,13,3,1,1
24187,702,12,4,1,1
24327,1001,13,4,1,1
24423,2002,10,1,1,1
24491,902,9,1,1,1
24494,2101,1,1,1,1
24499,306,16,3,1,1
24508,1003,12,1,1,1
24517,1103,1,4,1,1
24540,1202,11,3,1,1
24646,1202,3,1,1,1
24666,1204,10,2,1,1
24695,1105,15,3,1,1
24704,101,4,1,1,1
24788,2201,15,4,1,1
24833,1502,15,3,1,1
24859,301,14,4,1,1
24918,1600,15,4,1,1
25018,1401,15,2,1,1
25095,1203,1,1,1,1
25182,1102,12,1,1,1
25271,1501,11,2,1,1
25342,1301,6,3,1,1
25522,306,13,2,1,1
25545,2103,13,4,1,1
25564,702,3,4,1,1
25584,1504,10,2,1,1
25610,101,7,3,1,1
25696,2104,16,2,1,1
25708,800,10,2,1,1
25714,1102,14,7,1,1
25727,907,12,4,1,1
25881,701,6,3,1,1
25978,102,12,2,1,1
26033,1202,5,1,1,1
26045,1101,6,2,1,1
26096,601,11,4,1,1
26108,2102,1,1,1,1
26143,905,13,4,1,1
26204,901,7,2,1,1
26252,1501,14,1,1,1
26259,304,2,1,1,1
26303,1101,12,3,1,1
26311,903,14,3,1,1
26338,1202,2,5,1,1
26369,1105,8,2,1,1
26374,901,12,3,1,1
26390,1502,10,3,1,1
26391,906,11,5,1,1
26450,400,12,2,1,1
26477,2101,12,2,1,1
26603,1901,12,1,1,1
26650,2102,11,3,1,1
26655,102,1,1,1,1
26661,1102,12,2,1,1
26664,2002,12,3,1,1
26678,2103,5,1,1,1
26709,1101,11,1,1,1
26747,601,13,2,1,1
26806,101,13,4,1,1
26870,1201,13,2,1,1
26914,906,12,4,1,1
26930,1904,11,2,1,1
27119,304,1,1,1,1
27160,2400,14,1,1,1
27197,901,5,3,1,1
27253,2201,8,6,1,1
27285,2303,15,3,1,1
27343,1301,8,1,1,1
27366,2104,12,2,1,1
27425,304,4,1,1,1
27435,1904,9,2,1,1
27436,2400,7,2,1,1
27464,800,16,4,1,1
27481,1904,7,4,1,1
27516,501,8,2,1,1
27596,2302,15,2,1,1
27791,905,12,4,1,1
27840,1700,5,4,1,1
27841,503,13,1,1,1
27904,2002,12,3,1,1
27945,502,10,2,1,1
28008,602,1,1,1,1
28034,2400,10,2,1,1
28053,306,11,1,1,1
28054,304,13,3,1,1
28078,601,15,3,1,1
28207,906,12,4,1,1
28223,901,4,1,1,1
28250,303,1,1,1,1
28301,1104,11,6,1,1
28312,102,13,2,1,1
28401,703,13,4,1,1
28439,2600,14,4,1,1
28556,1903,11,1,1,1
28573,1504,16,5,1,1
28586,1902,16,2,1,1
28708,601,4,4,1,1
28771,2201,10,2,1,1
28791,2001,10,1,1,1
28818,2101,9,3,1,1
28867,703,15,2,1,1
28915,901,14,2,1,1
28955,2003,7,2,1,1
29034,1003,15,5,1,1
29069,1101,15,3,1,1
29099,1501,4,1,1,1
29106,902,13,2,1,1
29183,1401,4,1,1,1
29219,901,14,1,1,1
29229,800,7,1,1,1
29303,1103,11,2,1,1
29376,1403,13,2,1,1
29401,1101,8,3,1,1
29456,502,9,1,1,1
29471,1904,14,7,1,1
29533,1700,13,2,1,1
29560,2600,15,2,1,1
29581,1800,12,6,1,1
29592,1402,8,2,1,1
