hid,pid,sample_geo,age,sex,rpage,rpsex,ptotals,prtotals
189,2,40,7,2,7,2,1,1
189,3,40,3,1,3,1,1,1
190,1,40,7,2,7,2,1,1
190,2,40,5,1,5,1,1,1
190,3,40,8,1,8,1,1,1
191,1,40,5,1,5,1,1,1
191,2,40,4,2,4,2,1,1
192,1,40,5,1,5,1,1,1
193,1,40,8,1,8,1,1,1
193,2,40,7,2,7,2,1,1
194,1,40,6,2,6,2,1,1
194,2,40,6,1,6,1,1,1
194,3,40,6,2,6,2,1,1
195,1,40,5,1,5,1,1,1
195,2,40,5,2,5,2,1,1
195,3,40,1,1,1,1,1,1
195,4,40,1,2,1,2,1,1
196,1,40,7,1,7,1,1,1
196,2,40,7,2,7,2,1,1
197,1,40,7,1,7,1,1,1
197,2,40,7,2,7,2,1,1
197,3,40,4,2,4,2,1,1
198,1,40,7,1,7,1,1,1
198,2,40,7,2,7,2,1,1
199,1,40,5,1,5,1,1,1
199,2,40,5,2,5,2,1,1
199,3,40,1,1,1,1,1,1
200,1,40,8,1,8,1,1,1
200,2,40,8,2,8,2,1,1
201,1,40,7,1,7,1,1,1
201,2,40,8,2,8,2,1,1
201,3,40,4,1,4,1,1,1
202,1,40,4,1,4,1,1,1
203,1,40,5,2,5,2,1,1
203,2,40,5,2,5,2,1,1
204,1,40,6,1,6,1,1,1
204,2,40,5,2,5,2,1,1
204,3,40,2,2,2,2,1,1
204,4,40,1,1,1,1,1,1
205,1,40,7,1,7,1,1,1
205,2,40,6,1,6,1,1,1
205,3,40,8,1,8,1,1,1
205,4,40,7,2,7,2,1,1
205,5,40,5,2,5,2,1,1
206,1,40,5,1,5,1,1,1
206,2,40,5,2,5,2,1,1
206,3,40,1,1,1,1,1,1
206,4,40,1,2,1,2,1,1
207,1,40,7,1,7,1,1,1
207,2,40,7,2,7,2,1,1
207,3,40,4,1,4,1,1,1
207,4,40,3,2,3,2,1,1
207,5,40,2,1,2,1,1,1
207,6,40,6,2,6,2,1,1
208,1,40,7,1,7,1,1,1
208,2,40,6,2,6,2,1,1
208,3,40,2,2,2,2,1,1
208,4,40,2,2,2,2,1,1
208,5,40,2,2,2,2,1,1
208,6,40,2,2,2,2,1,1
209,1,40,8,1,8,1,1,1
210,1,40,8,1,8,1,1,1
210,2,40,7,2,7,2,1,1
210,3,40,2,1,2,1,1,1
210,4,40,2,1,2,1,1,1
210,5,40,2,2,2,2,1,1
210,6,40,7,2,7,2,1,1
211,1,40,7,1,7,1,1,1
211,2,40,6,2,6,2,1,1
211,3,40,4,1,4,1,1,1
211,4,40,5,1,5,1,1,1
211,5,40,2,2,2,2,1,1
211,6,40,2,2,2,2,1,1
212,1,40,8,1,8,1,1,1
212,2,40,6,2,6,2,1,1
212,3,40,3,1,3,1,1,1
213,1,56,7,1,7,1,1,1
213,2,56,6,2,6,2,1,1
213,3,56,2,1,2,1,1,1
213,4,56,1,1,1,1,1,1
214,1,40,6,1,6,1,1,1
214,2,40,6,2,6,2,1,1
214,3,40,2,2,2,2,1,1
214,4,40,2,1,2,1,1,1
214,5,40,1,2,1,2,1,1
215,1,40,6,1,6,1,1,1
215,2,40,6,2,6,2,1,1
215,3,40,1,2,1,2,1,1
216,1,40,6,1,6,1,1,1
217,1,40,6,1,6,1,1,1
218,1,40,8,1,8,1,1,1
218,2,40,7,2,7,2,1,1
219,1,40,8,1,8,1,1,1
219,2,40,7,2,7,2,1,1
219,3,40,1,2,1,2,1,1
220,1,40,4,1,4,1,1,1
221,1,40,7,1,7,1,1,1
221,2,40,5,2,5,2,1,1
221,3,40,2,2,2,2,1,1
221,4,40,2,2,2,2,1,1
221,5,40,2,2,2,2,1,1
221,6,40,1,2,1,2,1,1
221,7,40,1,1,1,1,1,1
222,1,40,7,1,7,1,1,1
222,2,40,7,2,7,2,1,1
222,3,40,4,1,4,1,1,1
222,4,40,4,2,4,2,1,1
222,5,40,5,2,5,2,1,1
223,1,40,6,1,6,1,1,1
224,1,40,5,1,5,1,1,1
225,1,40,5,1,5,1,1,1
226,1,40,5,1,5,1,1,1
227,1,40,5,1,5,1,1,1
227,2,40,5,2,5,2,1,1
227,3,40,1,1,1,1,1,1
228,1,40,6,1,6,1,1,1
229,1,40,5,1,5,1,1,1
230,1,40,5,1,5,1,1,1
230,2,40,5,2,5,2,1,1
231,1,40,5,1,5,1,1,1
231,2,40,5,2,5,2,1,1
232,1,40,5,2,5,2,1,1
232,2,40,5,1,5,1,1,1
233,1,46,5,1,5,1,1,1
233,2,46,9,1,9,1,1,1
233,3,46,6,2,6,2,1,1
233,4,46,5,2,5,2,1,1
233,5,46,8,2,8,2,1,1
233,6,46,6,2,6,2,1,1
233,7,46,5,2,5,2,1,1
234,1,46,4,2,4,2,1,1
234,2,46,7,1,7,1,1,1
234,3,46,7,2,7,2,1,1
234,4,46,5,2,5,2,1,1
234,5,46,5,1,5,1,1,1
234,6,46,5,1,5,1,1,1
234,7,46,5,1,5,1,1,1
234,8,46,3,1,3,1,1,1
234,9,46,4,2,4,2,1,1
234,10,46,4,2,4,2,1,1
235,1,40,8,2,8,2,1,1
235,2,40,9,1,9,1,1,1
235,3,40,3,1,3,1,1,1
236,1,40,5,1,5,1,1,1
236,2,40,8,2,8,2,1,1
236,3,40,8,1,8,1,1,1
236,4,40,4,2,4,2,1,1
236,5,40,5,2,5,2,1,1
237,1,40,5,1,5,1,1,1
237,2,40,5,2,5,2,1,1
237,3,40,5,1,5,1,1,1
238,1,40,6,1,6,1,1,1
238,2,40,4,2,4,2,1,1
238,3,40,1,2,1,2,1,1
239,1,40,7,1,7,1,1,1
239,2,40,6,2,6,2,1,1
239,3,40,3,2,3,2,1,1
239,4,40,2,2,2,2,1,1
240,1,40,7,1,7,1,1,1
240,2,40,7,2,7,2,1,1
241,1,40,7,1,7,1,1,1
241,2,40,6,2,6,2,1,1
241,3,40,2,1,2,1,1,1
242,1,40,5,1,5,1,1,1
242,2,40,4,2,4,2,1,1
243,1,40,6,1,6,1,1,1
243,2,40,6,2,6,2,1,1
243,3,40,2,2,2,2,1,1
244,1,40,8,1,8,1,1,1
244,2,40,7,2,7,2,1,1
244,3,40,6,1,6,1,1,1
244,4,40,5,2,5,2,1,1
245,1,40,8,1,8,1,1,1
245,2,40,9,2,9,2,1,1
246,1,40,6,1,6,1,1,1
246,2,40,5,2,5,2,1,1
246,3,40,8,1,8,1,1,1
246,4,40,1,2,1,2,1,1
247,1,40,6,1,6,1,1,1
247,2,40,5,2,5,2,1,1
247,3,40,1,2,1,2,1,1
247,4,40,1,1,1,1,1,1
247,5,40,1,2,1,2,1,1
248,1,40,7,1,7,1,1,1
248,2,40,6,2,6,2,1,1
248,3,40,2,1,2,1,1,1
248,4,40,2,1,2,1,1,1
248,5,40,2,2,2,2,1,1
249,1,40,6,1,6,1,1,1
250,1,40,8,1,8,1,1,1
250,2,40,8,2,8,2,1,1
251,1,40,5,1,5,1,1,1
251,2,40,9,1,9,1,1,1
251,3,40,8,2,8,2,1,1
252,1,40,8,1,8,1,1,1
253,1,40,6,1,6,1,1,1
253,2,40,6,2,6,2,1,1
253,3,40,2,1,2,1,1,1
253,4,40,2,2,2,2,1,1
253,5,40,2,2,2,2,1,1
254,1,40,5,1,5,1,1,1
254,2,40,4,2,4,2,1,1
254,3,40,1,2,1,2,1,1
255,1,40,5,1,5,1,1,1
255,2,40,5,2,5,2,1,1
255,3,40,2,1,2,1,1,1
256,1,40,6,1,6,1,1,1
256,2,40,6,2,6,2,1,1
256,3,40,2,1,2,1,1,1
257,1,40,6,1,6,1,1,1
257,2,40,6,2,6,2,1,1
257,3,40,2,1,2,1,1,1
258,1,45,6,1,6,1,1,1
258,2,45,5,2,5,2,1,1
258,3,45,1,1,1,1,1,1
259,1,45,5,1,5,1,1,1
259,2,45,5,1,5,1,1,1
260,1,45,6,1,6,1,1,1
260,2,45,6,1,6,1,1,1
261,1,45,7,1,7,1,1,1
261,2,45,6,1,6,1,1,1
262,1,45,5,1,5,1,1,1
262,2,45,5,1,5,1,1,1
262,3,45,6,1,6,1,1,1
263,1,45,5,1,5,1,1,1
263,2,45,5,2,5,2,1,1
264,1,45,6,1,6,1,1,1
264,2,45,5,1,5,1,1,1
265,1,45,8,1,8,1,1,1
266,1,45,8,1,8,1,1,1
266,2,45,7,2,7,2,1,1
266,3,45,2,2,2,2,1,1
267,1,45,7,1,7,1,1,1
267,2,45,6,2,6,2,1,1
267,3,45,2,2,2,2,1,1
267,4,45,2,2,2,2,1,1
267,5,45,2,2,2,2,1,1
267,6,45,2,1,2,1,1,1
268,1,45,5,1,5,1,1,1
268,2,45,4,2,4,2,1,1
269,1,45,7,1,7,1,1,1
269,2,45,6,2,6,2,1,1
269,3,45,2,2,2,2,1,1
269,4,45,2,1,2,1,1,1
270,1,45,6,1,6,1,1,1
270,2,45,6,2,6,2,1,1
270,3,45,1,2,1,2,1,1
270,4,45,2,2,2,2,1,1
271,1,45,5,1,5,1,1,1
272,1,45,7,1,7,1,1,1
272,2,45,6,2,6,2,1,1
272,3,45,2,2,2,2,1,1
272,4,45,2,1,2,1,1,1
272,5,45,2,1,2,1,1,1
272,6,45,2,2,2,2,1,1
273,1,45,7,2,7,2,1,1
273,2,45,7,1,7,1,1,1
274,1,45,5,1,5,1,1,1
275,1,45,6,1,6,1,1,1
275,2,45,4,2,4,2,1,1
275,3,45,2,1,2,1,1,1
276,1,45,5,1,5,1,1,1
276,2,45,7,2,7,2,1,1
276,3,45,3,2,3,2,1,1
277,1,45,8,1,8,1,1,1
277,2,45,7,2,7,2,1,1
277,3,45,4,2,4,2,1,1
277,4,45,2,1,2,1,1,1
277,5,45,2,2,2,2,1,1
278,1,45,8,1,8,1,1,1
278,2,45,7,2,7,2,1,1
278,3,45,3,2,3,2,1,1
279,1,45,7,1,7,1,1,1
280,1,45,9,1,9,1,1,1
281,1,45,6,1,6,1,1,1
282,1,45,5,1,5,1,1,1
283,1,40,6,1,6,1,1,1
283,2,40,6,1,6,1,1,1
284,1,45,5,1,5,1,1,1
285,1,45,6,1,6,1,1,1
285,2,45,5,2,5,2,1,1
285,3,45,1,2,1,2,1,1
286,1,45,4,1,4,1,1,1
287,1,45,5,1,5,1,1,1
287,2,45,4,2,4,2,1,1
287,3,45,1,2,1,2,1,1
288,1,45,8,1,8,1,1,1
288,2,45,7,2,7,2,1,1
288,3,45,9,2,9,2,1,1
289,1,45,7,1,7,1,1,1
289,2,45,2,1,2,1,1,1
289,3,45,6,2,6,2,1,1
290,1,45,4,2,4,2,1,1
290,2,45,6,2,6,2,1,1
290,3,45,1,2,1,2,1,1
290,4,45,1,2,1,2,1,1
291,1,45,5,1,5,1,1,1
291,2,45,6,2,6,2,1,1
292,1,45,5,1,5,1,1,1
292,2,45,5,2,5,2,1,1
292,3,45,1,1,1,1,1,1
293,1,45,7,1,7,1,1,1
293,2,45,6,2,6,2,1,1
294,1,45,5,1,5,1,1,1
295,1,45,7,1,7,1,1,1
295,2,45,5,1,5,1,1,1
296,1,45,6,1,6,1,1,1
296,2,45,5,2,5,2,1,1
296,3,45,1,1,1,1,1,1
296,4,45,6,1,6,1,1,1
297,1,45,8,1,8,1,1,1
297,2,45,5,1,5,1,1,1
297,3,45,7,2,7,2,1,1
297,4,45,5,2,5,2,1,1
297,5,45,2,2,2,2,1,1
297,6,45,1,2,1,2,1,1
298,1,45,6,1,6,1,1,1
298,2,45,5,2,5,2,1,1
298,3,45,1,1,1,1,1,1
298,4,45,1,2,1,2,1,1
299,1,45,5,1,5,1,1,1
299,2,45,5,2,5,2,1,1
300,1,45,7,1,7,1,1,1
300,2,45,5,2,5,2,1,1
300,3,45,2,1,2,1,1,1
300,4,45,1,2,1,2,1,1
300,5,45,1,2,1,2,1,1
301,1,45,5,1,5,1,1,1
301,2,45,5,2,5,2,1,1
302,1,45,6,1,6,1,1,1
302,2,45,6,2,6,2,1,1
302,3,45,2,1,2,1,1,1
302,4,45,1,2,1,2,1,1
303,1,45,6,1,6,1,1,1
303,2,45,5,2,5,2,1,1
303,3,45,1,2,1,2,1,1
304,1,45,6,1,6,1,1,1
305,1,45,6,1,6,1,1,1
305,2,45,6,2,6,2,1,1
305,3,45,1,1,1,1,1,1
306,1,45,6,1,6,1,1,1
307,1,45,6,1,6,1,1,1
308,1,45,5,1,5,1,1,1
309,1,45,8,1,8,1,1,1
309,2,45,8,2,8,2,1,1
309,3,45,3,2,3,2,1,1
310,1,45,8,1,8,1,1,1
311,1,45,5,1,5,1,1,1
311,2,45,5,2,5,2,1,1
312,1,45,8,1,8,1,1,1
312,2,45,8,2,8,2,1,1
312,3,45,6,2,6,2,1,1
312,4,45,5,2,5,2,1,1
313,1,45,7,1,7,1,1,1
313,2,45,6,2,6,2,1,1
313,3,45,4,1,4,1,1,1
313,4,45,2,2,2,2,1,1
313,5,45,2,2,2,2,1,1
313,6,45,1,2,1,2,1,1
314,1,45,5,1,5,1,1,1
314,2,45,5,2,5,2,1,1
315,1,45,6,1,6,1,1,1
315,2,45,6,2,6,2,1,1
315,3,45,2,2,2,2,1,1
315,4,45,2,1,2,1,1,1
315,5,45,1,1,1,1,1,1
315,6,45,6,2,6,2,1,1
316,1,45,8,1,8,1,1,1
316,2,45,7,2,7,2,1,1
316,3,45,5,2,5,2,1,1
316,4,45,5,1,5,1,1,1
317,1,45,7,1,7,1,1,1
317,2,45,6,2,6,2,1,1
317,3,45,3,2,3,2,1,1
317,4,45,2,2,2,2,1,1
318,1,45,5,1,5,1,1,1
319,1,45,7,1,7,1,1,1
320,1,45,7,1,7,1,1,1
320,2,45,7,2,7,2,1,1
320,3,45,1,1,1,1,1,1
320,4,45,1,2,1,2,1,1
321,1,45,6,1,6,1,1,1
322,1,45,5,1,5,1,1,1
322,2,45,5,2,5,2,1,1
323,1,45,5,1,5,1,1,1
323,2,45,5,2,5,2,1,1
324,1,45,9,1,9,1,1,1
324,2,45,7,2,7,2,1,1
324,3,45,4,1,4,1,1,1
324,4,45,5,1,5,1,1,1
325,1,45,5,1,5,1,1,1
326,1,45,8,1,8,1,1,1
326,2,45,6,2,6,2,1,1
326,3,45,5,2,5,2,1,1
326,4,45,1,1,1,1,1,1
327,1,45,7,1,7,1,1,1
327,2,45,7,2,7,2,1,1
328,1,45,5,1,5,1,1,1
328,2,45,5,2,5,2,1,1
328,3,45,1,2,1,2,1,1
329,1,45,6,1,6,1,1,1
329,2,45,5,2,5,2,1,1
329,3,45,1,2,1,2,1,1
329,4,45,1,1,1,1,1,1
330,1,45,4,1,4,1,1,1
330,2,45,6,2,6,2,1,1
331,1,45,8,1,8,1,1,1
331,2,45,8,2,8,2,1,1
332,1,45,6,2,6,2,1,1
332,2,45,7,1,7,1,1,1
332,3,45,2,1,2,1,1,1
332,4,45,2,2,2,2,1,1
333,1,45,7,1,7,1,1,1
333,2,45,6,2,6,2,1,1
333,3,45,2,1,2,1,1,1
334,1,45,7,1,7,1,1,1
334,2,45,6,2,6,2,1,1
334,3,45,2,1,2,1,1,1
334,4,45,3,2,3,2,1,1
335,1,45,6,1,6,1,1,1
335,2,45,5,2,5,2,1,1
335,3,45,1,1,1,1,1,1
336,1,45,7,1,7,1,1,1
337,1,45,8,1,8,1,1,1
338,1,45,6,1,6,1,1,1
339,1,45,7,1,7,1,1,1
339,2,45,6,1,6,1,1,1
339,3,45,5,1,5,1,1,1
339,4,45,5,1,5,1,1,1
339,5,45,5,1,5,1,1,1
340,1,45,7,1,7,1,1,1
340,2,45,6,2,6,2,1,1
340,3,45,3,1,3,1,1,1
341,1,45,6,1,6,1,1,1
341,2,45,5,2,5,2,1,1
341,3,45,2,1,2,1,1,1
341,4,45,2,1,2,1,1,1
341,5,45,2,1,2,1,1,1
341,6,45,1,1,1,1,1,1
342,1,45,7,1,7,1,1,1
343,1,45,5,1,5,1,1,1
343,2,45,9,1,9,1,1,1
343,3,45,8,2,8,2,1,1
344,1,45,5,1,5,1,1,1
345,1,45,8,1,8,1,1,1
346,1,45,6,1,6,1,1,1
346,2,45,6,2,6,2,1,1
346,3,45,2,2,2,2,1,1
346,4,45,2,1,2,1,1,1
346,5,45,1,1,1,1,1,1
347,1,45,8,1,8,1,1,1
348,1,45,6,1,6,1,1,1
348,2,45,5,2,5,2,1,1
348,3,45,2,2,2,2,1,1
348,4,45,1,2,1,2,1,1
349,1,45,7,2,7,2,1,1
349,2,45,7,1,7,1,1,1
349,3,45,3,1,3,1,1,1
349,4,45,2,1,2,1,1,1
350,1,45,7,1,7,1,1,1
350,2,45,6,2,6,2,1,1
350,3,45,3,1,3,1,1,1
351,1,45,7,1,7,1,1,1
351,2,45,7,2,7,2,1,1
351,3,45,2,2,2,2,1,1
351,4,45,2,1,2,1,1,1
352,1,45,7,1,7,1,1,1
352,2,45,6,2,6,2,1,1
352,3,45,3,2,3,2,1,1
352,4,45,2,2,2,2,1,1
353,1,45,5,1,5,1,1,1
353,2,45,5,2,5,2,1,1
353,3,45,1,2,1,2,1,1
354,1,45,6,1,6,1,1,1
354,2,45,5,2,5,2,1,1
355,1,45,5,1,5,1,1,1
356,1,45,8,1,8,1,1,1
356,2,45,7,2,7,2,1,1
356,3,45,3,1,3,1,1,1
357,1,45,5,1,5,1,1,1
357,2,45,5,2,5,2,1,1
357,3,45,1,2,1,2,1,1
357,4,45,6,2,6,2,1,1
358,1,45,5,1,5,1,1,1
359,1,45,6,1,6,1,1,1
359,2,45,6,2,6,2,1,1
359,3,45,1,1,1,1,1,1
360,1,45,7,1,7,1,1,1
360,2,45,6,2,6,2,1,1
