hid,sample_geo,hsize,rhsize,hhrtotals,hhtotals
503,45,1,1,1,1
504,45,1,1,1,1
505,45,1,1,1,1
506,45,1,1,1,1
507,45,1,1,1,1
508,45,1,1,1,1
509,45,1,1,1,1
510,45,1,1,1,1
511,45,1,1,1,1
512,45,1,1,1,1
513,45,1,1,1,1
514,45,1,1,1,1
515,45,1,1,1,1
516,45,1,1,1,1
517,45,1,1,1,1
518,45,1,1,1,1
519,45,1,1,1,1
520,45,1,1,1,1
521,45,1,1,1,1
522,45,1,1,1,1
523,45,1,1,1,1
524,45,1,1,1,1
525,45,1,1,1,1
526,45,1,1,1,1
527,45,1,1,1,1
528,45,1,1,1,1
529,45,1,1,1,1
530,45,1,1,1,1
531,45,1,1,1,1
532,45,1,1,1,1
533,45,1,1,1,1
534,45,1,1,1,1
535,45,1,1,1,1
536,45,1,1,1,1
537,45,1,1,1,1
538,45,1,1,1,1
539,45,1,1,1,1
540,45,1,1,1,1
541,45,1,1,1,1
542,45,1,1,1,1
543,45,1,1,1,1
544,45,1,1,1,1
545,45,1,1,1,1
546,45,1,1,1,1
547,45,1,1,1,1
548,45,1,1,1,1
549,45,1,1,1,1
550,45,1,1,1,1
551,45,3,3,1,1
552,45,1,1,1,1
553,45,1,1,1,1
554,45,1,1,1,1
555,45,1,1,1,1
556,45,1,1,1,1
557,45,1,1,1,1
558,45,1,1,1,1
559,45,1,1,1,1
560,45,1,1,1,1
561,40,1,1,1,1
562,45,1,1,1,1
563,45,1,1,1,1
564,45,1,1,1,1
565,45,1,1,1,1
566,45,1,1,1,1
567,45,1,1,1,1
568,45,1,1,1,1
569,45,1,1,1,1
570,45,1,1,1,1
571,45,1,1,1,1
572,45,1,1,1,1
573,45,1,1,1,1
574,45,3,3,1,1
575,45,1,1,1,1
576,45,1,1,1,1
577,45,1,1,1,1
578,45,2,2,1,1
579,45,1,1,1,1
580,45,1,1,1,1
581,45,1,1,1,1
582,45,1,1,1,1
583,45,1,1,1,1
584,45,1,1,1,1
585,45,1,1,1,1
586,45,1,1,1,1
587,45,1,1,1,1
588,45,1,1,1,1
589,45,1,1,1,1
590,45,1,1,1,1
591,45,3,3,1,1
592,45,1,1,1,1
593,45,1,1,1,1
594,45,1,1,1,1
595,45,1,1,1,1
596,45,1,1,1,1
597,45,1,1,1,1
598,45,1,1,1,1
599,45,1,1,1,1
600,45,1,1,1,1
601,45,1,1,1,1
602,45,1,1,1,1
603,45,1,1,1,1
604,45,2,2,1,1
605,45,1,1,1,1
606,45,1,1,1,1
607,45,1,1,1,1
608,45,1,1,1,1
609,45,1,1,1,1
610,45,1,1,1,1
611,45,1,1,1,1
612,45,1,1,1,1
613,45,1,1,1,1
614,45,1,1,1,1
615,45,1,1,1,1
616,45,1,1,1,1
617,45,1,1,1,1
618,45,1,1,1,1
619,45,1,1,1,1
620,45,1,1,1,1
621,45,1,1,1,1
622,45,1,1,1,1
623,45,1,1,1,1
624,45,1,1,1,1
625,45,1,1,1,1
626,45,1,1,1,1
627,45,1,1,1,1
628,45,1,1,1,1
629,45,1,1,1,1
630,45,1,1,1,1
631,45,1,1,1,1
632,45,3,3,1,1
633,45,1,1,1,1
634,45,1,1,1,1
635,45,1,1,1,1
636,45,1,1,1,1
637,45,1,1,1,1
638,45,1,1,1,1
639,45,1,1,1,1
640,45,1,1,1,1
641,45,1,1,1,1
642,45,1,1,1,1
643,45,1,1,1,1
644,45,1,1,1,1
645,45,1,1,1,1
646,45,1,1,1,1
647,45,2,2,1,1
648,45,1,1,1,1
649,45,1,1,1,1
650,45,1,1,1,1
651,45,1,1,1,1
652,45,1,1,1,1
653,45,1,1,1,1
654,45,1,1,1,1
655,45,1,1,1,1
656,45,1,1,1,1
657,45,1,1,1,1
658,45,1,1,1,1
659,45,1,1,1,1
660,45,1,1,1,1
661,45,1,1,1,1
662,45,1,1,1,1
663,47,1,1,1,1
664,47,3,3,1,1
665,45,1,1,1,1
666,45,1,1,1,1
667,45,1,1,1,1
668,45,1,1,1,1
669,45,1,1,1,1
670,45,1,1,1,1
671,45,1,1,1,1
672,45,1,1,1,1
673,45,1,1,1,1
674,45,1,1,1,1
675,45,1,1,1,1
676,45,1,1,1,1
677,45,1,1,1,1
678,45,1,1,1,1
679,45,1,1,1,1
680,45,1,1,1,1
681,45,1,1,1,1
682,45,1,1,1,1
683,45,1,1,1,1
684,45,1,1,1,1
685,45,1,1,1,1
686,45,3,3,1,1
687,45,1,1,1,1
688,45,1,1,1,1
689,45,1,1,1,1
690,45,1,1,1,1
691,45,1,1,1,1
692,45,1,1,1,1
693,45,1,1,1,1
694,45,1,1,1,1
695,45,1,1,1,1
696,45,1,1,1,1
697,45,1,1,1,1
698,45,1,1,1,1
699,45,1,1,1,1
700,45,1,1,1,1
701,45,1,1,1,1
702,45,1,1,1,1
703,45,1,1,1,1
704,45,1,1,1,1
705,45,1,1,1,1
706,45,3,3,1,1
707,45,1,1,1,1
708,45,1,1,1,1
709,45,1,1,1,1
710,45,1,1,1,1
711,45,1,1,1,1
712,45,1,1,1,1
713,45,1,1,1,1
714,45,1,1,1,1
715,45,1,1,1,1
716,45,1,1,1,1
717,45,1,1,1,1
718,45,1,1,1,1
719,45,1,1,1,1
720,45,1,1,1,1
721,45,1,1,1,1
722,45,1,1,1,1
723,45,4,4,1,1
724,45,4,4,1,1
725,45,2,2,1,1
726,45,1,1,1,1
727,45,1,1,1,1
728,45,1,1,1,1
729,45,1,1,1,1
730,45,1,1,1,1
731,45,1,1,1,1
732,45,1,1,1,1
733,45,1,1,1,1
734,45,1,1,1,1
735,45,1,1,1,1
736,45,1,1,1,1
737,45,1,1,1,1
738,45,1,1,1,1
739,45,1,1,1,1
740,45,1,1,1,1
741,45,1,1,1,1
742,45,1,1,1,1
743,45,1,1,1,1
744,45,1,1,1,1
745,45,1,1,1,1
746,45,1,1,1,1
747,45,1,1,1,1
748,45,1,1,1,1
749,45,1,1,1,1
750,45,1,1,1,1
751,45,1,1,1,1
752,45,1,1,1,1
753,45,1,1,1,1
754,45,1,1,1,1
755,45,1,1,1,1
756,45,1,1,1,1
757,45,1,1,1,1
758,45,1,1,1,1
759,45,3,3,1,1
760,45,1,1,1,1
761,45,1,1,1,1
762,45,1,1,1,1
763,45,1,1,1,1
764,45,1,1,1,1
765,45,1,1,1,1
766,45,1,1,1,1
767,45,1,1,1,1
768,45,1,1,1,1
769,45,1,1,1,1
770,45,1,1,1,1
771,45,1,1,1,1
772,45,1,1,1,1
773,45,1,1,1,1
774,45,1,1,1,1
775,45,1,1,1,1
776,45,1,1,1,1
777,45,1,1,1,1
778,45,1,1,1,1
779,45,1,1,1,1
780,45,1,1,1,1
781,45,1,1,1,1
782,45,1,1,1,1
783,45,1,1,1,1
784,45,1,1,1,1
785,45,1,1,1,1
786,45,1,1,1,1
787,45,1,1,1,1
788,45,1,1,1,1
789,45,1,1,1,1
790,45,1,1,1,1
791,45,1,1,1,1
792,45,1,1,1,1
793,45,1,1,1,1
794,45,1,1,1,1
795,45,1,1,1,1
796,45,1,1,1,1
797,45,1,1,1,1
798,45,1,1,1,1
799,45,1,1,1,1
800,45,1,1,1,1
801,45,1,1,1,1
802,45,1,1,1,1
803,45,1,1,1,1
804,45,1,1,1,1
805,45,1,1,1,1
806,45,1,1,1,1
807,45,1,1,1,1
808,45,1,1,1,1
809,45,1,1,1,1
810,45,1,1,1,1
811,45,1,1,1,1
812,45,1,1,1,1
813,45,1,1,1,1
814,45,1,1,1,1
815,45,1,1,1,1
816,45,1,1,1,1
817,45,1,1,1,1
818,45,1,1,1,1
819,45,1,1,1,1
820,45,1,1,1,1
821,45,1,1,1,1
822,45,1,1,1,1
823,45,1,1,1,1
824,45,1,1,1,1
825,45,1,1,1,1
826,45,1,1,1,1
827,45,1,1,1,1
828,45,1,1,1,1
829,45,1,1,1,1
830,45,1,1,1,1
831,45,1,1,1,1
832,45,1,1,1,1
833,45,1,1,1,1
834,45,4,4,1,1
835,45,4,4,1,1
836,45,1,1,1,1
837,45,3,3,1,1
838,45,1,1,1,1
839,45,1,1,1,1
840,45,1,1,1,1
841,45,1,1,1,1
842,45,3,3,1,1
843,45,2,2,1,1
844,45,1,1,1,1
845,45,1,1,1,1
846,45,1,1,1,1
847,45,1,1,1,1
848,45,1,1,1,1
849,45,1,1,1,1
850,45,1,1,1,1
851,45,1,1,1,1
852,45,1,1,1,1
853,45,1,1,1,1
854,45,1,1,1,1
855,45,1,1,1,1
856,45,1,1,1,1
857,45,1,1,1,1
858,45,1,1,1,1
