hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
9723,3802,5,2,1,1
9725,3307,15,2,1,1
9727,1400,12,2,1,1
9739,3202,15,5,1,1
9740,3709,3,1,1,1
9749,3703,8,1,1,1
9775,4103,5,4,1,1
9777,3210,15,5,1,1
9782,703,6,1,1,1
9800,3003,13,4,1,1
9818,600,1,2,1,1
9833,3706,3,3,1,1
9836,3306,11,4,1,1
9838,1101,11,1,1,1
9867,3810,15,1,1,1
9874,2203,3,3,1,1
9904,4103,16,3,1,1
9913,3801,11,3,1,1
9940,1205,1,1,1,1
9977,2801,15,2,1,1
9998,3203,4,1,1,1
10016,1207,13,4,1,1
10084,2901,16,2,1,1
10110,3710,2,2,1,1
10135,4009,13,2,1,1
10147,3806,12,2,1,1
10176,3301,15,5,1,1
10198,4011,16,4,1,1
10254,1206,11,1,1,1
10267,3704,1,3,1,1
10273,2701,13,2,1,1
10292,1205,3,1,1,1
10295,3305,14,2,1,1
10296,3806,14,1,1,1
10304,4010,11,3,1,1
10336,4001,12,1,1,1
10343,3709,2,1,1,1
10364,1101,2,1,1,1
10369,402,4,2,1,1
10395,1600,3,1,1,1
10397,3101,4,6,1,1
10409,3102,13,2,1,1
10456,1201,11,2,1,1
10499,4010,11,2,1,1
10502,500,10,2,1,1
10519,3206,4,5,1,1
10530,3003,8,3,1,1
10573,800,16,4,1,1
10578,402,3,2,1,1
10675,1600,13,4,1,1
10686,3308,4,1,1,1
10688,3804,4,5,1,1
10712,2802,3,1,1,1
10733,2401,11,5,1,1
10760,300,11,2,1,1
10773,3205,16,3,1,1
10794,3806,13,2,1,1
10799,1600,12,2,1,1
10800,2201,8,2,1,1
10934,4015,7,4,1,1
10957,100,13,2,1,1
10963,3003,12,1,1,1
10969,300,7,4,1,1
10978,4004,8,2,1,1
10990,2203,11,2,1,1
10993,4008,12,7,1,1
11001,3003,6,6,1,1
11008,4110,6,3,1,1
11026,3208,11,2,1,1
11099,2300,10,4,1,1
11109,1204,12,2,1,1
11129,2801,11,2,1,1
11133,3801,15,2,1,1
11163,3212,16,5,1,1
11166,4013,2,6,1,1
11173,702,1,2,1,1
11204,4101,1,3,1,1
11209,3203,11,4,1,1
11216,3206,15,5,1,1
11223,704,10,4,1,1
11229,200,12,2,1,1
11237,3708,11,4,1,1
11239,901,5,2,1,1
11279,3102,12,1,1,1
11336,500,5,1,1,1
11376,4007,7,3,1,1
11380,300,4,3,1,1
11386,1802,2,1,1,1
11408,3202,10,1,1,1
11465,2802,1,1,1,1
11467,3201,2,2,1,1
11489,1900,6,3,1,1
11499,4016,9,1,1,1
11509,1203,13,3,1,1
11513,902,10,2,1,1
11522,4106,13,2,1,1
11564,4106,11,2,1,1
11584,1500,10,4,1,1
11639,3810,16,2,1,1
11656,403,2,1,1,1
11667,701,13,2,1,1
11672,1207,6,2,1,1
11688,500,15,3,1,1
11743,3311,14,3,1,1
11771,4103,14,2,1,1
11782,800,11,2,1,1
11830,2203,3,3,1,1
11836,4112,12,2,1,1
11848,4008,9,1,1,1
11852,1000,11,3,1,1
11866,2001,3,2,1,1
11903,3810,16,1,1,1
12059,4013,4,1,1,1
12085,1101,11,6,1,1
12215,1900,12,3,1,1
12233,1205,1,1,1,1
12261,3304,14,4,1,1
12305,1801,9,4,1,1
12310,3804,1,1,1,1
12343,600,13,3,1,1
12354,3305,16,4,1,1
12362,1900,4,1,1,1
12373,403,7,2,1,1
12416,3313,12,2,1,1
12460,3804,11,2,1,1
12489,1201,12,4,1,1
12525,1400,7,2,1,1
12558,3202,16,3,1,1
12570,300,6,1,1,1
12638,704,2,1,1,1
12664,1204,14,3,1,1
12672,4018,1,1,1,1
12684,3704,1,2,1,1
12721,4001,2,3,1,1
12730,4008,3,4,1,1
12750,2600,6,1,1,1
12753,403,14,2,1,1
12768,3810,16,2,1,1
12801,4003,1,1,1,1
12807,4108,5,1,1,1
12808,3309,13,2,1,1
12819,3210,13,4,1,1
12836,800,5,2,1,1
12852,3702,1,7,1,1
12864,4106,14,2,1,1
12884,402,3,1,1,1
12896,2201,16,2,1,1
12917,600,2,1,1,1
12948,3704,6,5,1,1
12968,3210,16,4,1,1
12989,300,3,1,1,1
13000,2401,6,1,1,1
13048,3104,13,3,1,1
13062,3102,8,3,1,1
13115,3202,13,5,1,1
13119,4112,1,3,1,1
13126,4014,8,3,1,1
13141,3809,6,1,1,1
13145,4016,11,1,1,1
13181,403,6,2,1,1
13184,2201,14,2,1,1
13190,4112,9,1,1,1
13220,4009,15,6,1,1
13223,4007,8,1,1,1
13295,1202,12,1,1,1
13397,1203,12,4,1,1
13496,3703,13,2,1,1
13501,3710,1,2,1,1
13519,2402,6,4,1,1
13523,3805,13,1,1,1
13529,2202,12,4,1,1
13541,3105,5,1,1,1
13588,1205,1,2,1,1
13594,1900,15,2,1,1
13608,1201,13,4,1,1
13626,4008,1,2,1,1
13640,4114,13,5,1,1
13644,1207,10,1,1,1
13652,1205,8,1,1,1
13671,2600,1,1,1,1
13674,3310,16,5,1,1
13698,4017,11,4,1,1
13708,3104,3,4,1,1
13728,4004,12,1,1,1
13738,701,5,2,1,1
13742,3702,4,2,1,1
13779,2600,5,3,1,1
13780,1201,7,2,1,1
13825,402,12,4,1,1
13838,2002,5,1,1,1
13933,3901,1,1,1,1
13997,4105,14,3,1,1
14004,3101,2,1,1,1
14008,701,1,3,1,1
14064,3806,10,2,1,1
14109,2802,7,1,1,1
14124,3211,15,2,1,1
14136,1202,15,3,1,1
14153,901,12,2,1,1
14187,704,11,6,1,1
14191,3204,13,5,1,1
14244,4114,16,2,1,1
14287,2600,8,5,1,1
14289,904,9,2,1,1
14403,1700,7,1,1,1
14414,401,2,1,1,1
14446,4102,8,5,1,1
14462,901,2,1,1,1
14466,4009,13,2,1,1
14478,2500,11,4,1,1
14485,3901,12,5,1,1
14491,3307,3,4,1,1
14516,2903,9,3,1,1
14521,3208,13,2,1,1
14534,901,12,5,1,1
14600,2300,5,2,1,1
14613,3311,7,2,1,1
14694,4009,3,4,1,1
14735,1500,9,3,1,1
14776,905,12,4,1,1
14817,4110,12,1,1,1
14827,4011,1,1,1,1
14838,1000,7,4,1,1
14843,1206,3,2,1,1
14867,3302,16,4,1,1
14871,4104,4,1,1,1
14883,3307,16,4,1,1
14931,3107,10,5,1,1
14982,3809,2,1,1,1
15063,3002,15,7,1,1
15064,2402,13,3,1,1
15113,600,2,2,1,1
15126,3303,14,2,1,1
15136,2901,13,4,1,1
15161,1300,10,1,1,1
15177,1400,1,1,1,1
15187,1205,13,2,1,1
15229,4002,11,1,1,1
15231,3703,13,5,1,1
15249,4008,3,1,1,1
15253,200,1,5,1,1
15254,4110,10,1,1,1
15321,903,4,5,1,1
15347,2401,4,2,1,1
15360,3208,12,5,1,1
15371,4103,9,2,1,1
15392,3303,16,5,1,1
15393,1102,11,5,1,1
15399,906,3,2,1,1
15418,3307,12,3,1,1
15439,1802,3,4,1,1
15464,4002,3,2,1,1
15532,500,10,1,1,1
15586,703,3,1,1,1
15597,2001,1,1,1,1
15607,4109,6,4,1,1
15624,3802,16,3,1,1
15633,4004,12,1,1,1
15638,2600,13,4,1,1
15665,500,12,3,1,1
15684,2600,8,2,1,1
15708,3902,14,6,1,1
15710,4112,12,2,1,1
15754,3101,2,1,1,1
15765,4112,9,1,1,1
15837,2801,12,1,1,1
15854,300,10,2,1,1
15866,3305,7,3,1,1
15867,4015,3,7,1,1
15897,4110,5,2,1,1
15898,3903,1,1,1,1
15914,1206,10,2,1,1
15933,2402,13,2,1,1
15962,4010,14,3,1,1
15967,1700,8,2,1,1
15981,2402,5,1,1,1
16010,4104,2,2,1,1
16065,3303,13,6,1,1
16075,4105,4,1,1,1
16085,4012,11,3,1,1
16106,3702,12,3,1,1
16108,905,11,1,1,1
16135,4012,14,5,1,1
16148,500,6,2,1,1
16155,3807,8,1,1,1
16167,4011,9,2,1,1
16197,901,1,1,1,1
16204,4001,10,6,1,1
16214,500,10,5,1,1
16221,600,13,4,1,1
16273,3301,12,4,1,1
16277,3807,16,2,1,1
16295,3210,7,2,1,1
16338,4103,14,4,1,1
16398,702,11,4,1,1
16438,903,12,4,1,1
16446,2801,16,3,1,1
16450,3311,8,6,1,1
16502,701,1,1,1,1
16507,3313,5,2,1,1
16515,901,13,6,1,1
16517,3003,1,1,1,1
16521,4001,14,2,1,1
16546,703,8,1,1,1
16582,3102,15,2,1,1
16584,904,13,2,1,1
16606,4002,4,1,1,1
16648,4010,3,2,1,1
16652,4002,1,2,1,1
16680,3102,16,4,1,1
16697,3805,16,3,1,1
16713,4103,3,1,1,1
16758,3903,6,4,1,1
16766,3704,8,2,1,1
16784,3002,2,1,1,1
16806,3301,15,2,1,1
16825,1000,9,3,1,1
16828,3809,13,2,1,1
16831,3901,13,2,1,1
16833,2802,12,3,1,1
16847,3704,10,2,1,1
16856,3808,13,1,1,1
16865,904,10,1,1,1
16885,703,10,2,1,1
16894,4101,14,5,1,1
16897,904,4,1,1,1
16902,3703,15,4,1,1
16974,4016,4,1,1,1
16979,4110,11,3,1,1
16999,401,3,2,1,1
17028,3305,11,4,1,1
17035,4112,6,1,1,1
17063,4112,15,7,1,1
17093,4017,2,3,1,1
17096,4011,1,1,1,1
17105,500,13,4,1,1
17128,403,2,4,1,1
17135,1206,1,1,1,1
17143,3804,1,2,1,1
17157,3107,15,4,1,1
17169,600,12,2,1,1
17198,906,12,2,1,1
17228,4009,1,4,1,1
17242,4017,2,4,1,1
17245,1802,9,1,1,1
17250,4103,9,2,1,1
17302,3705,11,2,1,1
17352,3204,6,3,1,1
17371,4106,14,2,1,1
17394,3802,14,2,1,1
17410,901,11,1,1,1
17412,2702,15,4,1,1
17431,3701,1,3,1,1
17438,1700,2,1,1,1
17447,1204,14,3,1,1
17520,4112,15,1,1,1
17524,3207,9,2,1,1
17536,3903,15,4,1,1
17586,1206,11,2,1,1
17587,3313,11,2,1,1
17654,901,13,1,1,1
17660,3303,4,3,1,1
17688,3709,2,3,1,1
17740,3105,5,1,1,1
17755,4009,13,3,1,1
17814,3801,15,1,1,1
17894,4109,6,2,1,1
17936,3903,16,1,1,1
17972,701,8,2,1,1
17984,3706,4,1,1,1
17997,4004,10,2,1,1
18026,703,12,1,1,1
18028,1700,12,5,1,1
18037,2903,14,5,1,1
18070,906,10,1,1,1
18071,3903,12,2,1,1
18110,903,10,2,1,1
18173,901,13,4,1,1
18175,3805,4,5,1,1
18192,4108,14,5,1,1
18208,3102,16,4,1,1
18228,2500,13,2,1,1
18232,3709,13,4,1,1
18240,3302,15,2,1,1
18263,3002,12,5,1,1
18283,4104,12,1,1,1
18300,401,9,4,1,1
18303,703,16,2,1,1
18321,2500,10,4,1,1
18342,3107,5,2,1,1
18356,3809,1,1,1,1
18358,3806,12,1,1,1
18367,2402,3,1,1,1
18382,3103,16,4,1,1
18399,702,1,5,1,1
18435,3207,11,2,1,1
18464,600,12,6,1,1
18481,4013,2,2,1,1
18489,4001,10,1,1,1
18491,500,1,1,1,1
18514,4114,4,4,1,1
18556,3102,16,4,1,1
18566,701,11,5,1,1
18586,4008,12,3,1,1
18598,906,1,3,1,1
18607,3106,1,1,1,1
18647,2002,13,3,1,1
18693,701,2,4,1,1
18722,403,11,2,1,1
18773,704,3,2,1,1
18790,2500,13,3,1,1
18794,100,5,2,1,1
18822,3107,3,1,1,1
18830,1206,16,3,1,1
18845,2202,16,3,1,1
18849,3304,14,2,1,1
18874,3801,13,2,1,1
18904,4017,12,2,1,1
18906,200,11,3,1,1
18909,4103,9,1,1,1
18922,3810,6,1,1,1
18975,2401,16,2,1,1
19006,2401,7,2,1,1
19016,300,9,1,1,1
19033,2401,3,2,1,1
19049,4006,7,1,1,1
19074,2902,12,3,1,1
19092,2401,12,2,1,1
19114,3305,12,2,1,1
19130,4109,12,4,1,1
19147,2402,10,6,1,1
19180,3107,16,3,1,1
19213,3106,15,2,1,1
19215,4004,16,6,1,1
19246,906,13,3,1,1
19263,3703,3,5,1,1
19302,4109,12,2,1,1
19315,3201,9,6,1,1
19368,906,14,4,1,1
19381,1206,10,1,1,1
19385,3208,11,2,1,1
19415,3106,15,2,1,1
19467,3903,12,6,1,1
19487,3201,16,2,1,1
19490,3101,11,2,1,1
19563,3206,2,1,1,1
19571,2901,1,1,1,1
19580,1000,11,4,1,1
19641,2801,10,1,1,1
19657,3202,15,6,1,1
19715,4016,15,1,1,1
19721,901,6,1,1,1
19722,1102,2,5,1,1
19816,4106,13,2,1,1
19818,3709,11,2,1,1
19822,3003,16,5,1,1
19826,2202,12,4,1,1
19838,2001,1,1,1,1
19852,2600,12,3,1,1
19869,3104,16,4,1,1
19872,1205,11,3,1,1
19878,2702,14,3,1,1
19886,2701,7,2,1,1
19890,2402,11,2,1,1
19894,704,11,3,1,1
19908,4009,13,3,1,1
19913,300,12,2,1,1
19930,200,15,2,1,1
19939,3205,10,4,1,1
19945,500,7,2,1,1
19965,402,1,1,1,1
19986,1801,13,7,1,1
19988,3705,1,1,1,1
20006,902,8,1,1,1
20013,200,13,5,1,1
20027,3207,13,2,1,1
20058,1000,12,4,1,1
20061,3107,15,2,1,1
20069,901,5,1,1,1
20103,703,13,2,1,1
20130,1802,9,3,1,1
20168,3308,14,4,1,1
20180,3209,10,4,1,1
20187,4109,14,5,1,1
20216,905,3,1,1,1
20234,2001,12,1,1,1
20266,903,11,2,1,1
20267,3303,8,2,1,1
20275,1000,8,4,1,1
20293,2600,8,2,1,1
20321,800,14,2,1,1
20328,4009,10,3,1,1
20401,403,3,1,1,1
20411,1204,15,2,1,1
20413,3708,4,2,1,1
20422,4104,6,2,1,1
20478,3307,6,2,1,1
20534,4005,1,1,1,1
20539,3901,12,3,1,1
20550,500,7,1,1,1
20563,2201,11,3,1,1
20591,3106,13,4,1,1
20627,401,11,3,1,1
20640,2202,1,5,1,1
20645,2801,4,4,1,1
20655,3303,12,2,1,1
20677,3305,1,1,1,1
20711,3105,13,2,1,1
20719,4015,11,1,1,1
20720,4006,1,2,1,1
20727,1400,10,3,1,1
20731,906,16,3,1,1
20750,100,8,2,1,1
20764,2203,3,1,1,1
20765,1202,8,2,1,1
20786,4001,2,1,1,1
20797,2201,4,6,1,1
20805,2203,10,2,1,1
20840,2201,11,3,1,1
20844,4112,7,2,1,1
20930,3002,10,1,1,1
20932,2801,6,2,1,1
20981,3104,12,1,1,1
21027,1000,4,2,1,1
21076,701,9,1,1,1
21105,4013,8,1,1,1
21127,3201,11,7,1,1
21130,100,10,3,1,1
21176,2401,11,3,1,1
21180,3705,7,2,1,1
21192,3807,1,1,1,1
21205,902,6,1,1,1
21255,3001,12,2,1,1
21270,3002,15,2,1,1
21279,3306,14,2,1,1
21288,2901,12,4,1,1
21314,3306,13,5,1,1
21316,3805,15,1,1,1
21318,300,12,4,1,1
21383,3303,10,1,1,1
21389,4101,13,3,1,1
21423,500,10,2,1,1
21426,1206,7,4,1,1
21437,800,3,1,1,1
21438,4112,15,5,1,1
21460,4011,12,1,1,1
21468,3304,16,2,1,1
21499,3704,11,1,1,1
21519,3808,16,4,1,1
21522,3903,4,1,1,1
21569,3107,11,2,1,1
21572,4109,4,4,1,1
21590,1101,6,6,1,1
21604,2903,1,1,1,1
21609,2600,3,2,1,1
21615,2903,13,2,1,1
21632,701,15,3,1,1
21644,4001,9,2,1,1
21652,3804,12,1,1,1
21655,2203,10,5,1,1
21674,2802,16,5,1,1
21683,1101,1,3,1,1
21700,3303,16,2,1,1
21737,1802,12,6,1,1
21765,3803,3,1,1,1
21767,905,12,4,1,1
21807,4102,6,2,1,1
21824,1300,12,4,1,1
21826,3206,14,3,1,1
21865,3301,8,4,1,1
21887,4107,10,2,1,1
21908,4112,1,1,1,1
21927,1600,13,6,1,1
21957,3303,15,5,1,1
21962,2701,7,2,1,1
21970,1600,13,3,1,1
21973,4107,12,1,1,1
21997,3803,3,2,1,1
