variable_names,pworker,pworker,ptotals
variable_categories,1,2,1
geo,,,
253,3655.861477,3814.397194,7470.258671
254,2672.759793,2946.524576,5619.284369
255,2761.276819,4148.482739,6909.759558
256,2735.26997,5263.838503,7999.108472
257,1481.014337,1666.560828,3147.575165
258,1437.315346,1197.745147,2635.060493
259,1168.182069,1531.197995,2699.380064
260,1831.633746,2125.551249,3957.184995
261,1935.156424,4626.460698,6561.617122
262,2064.886058,1881.068536,3945.954594
263,1131.715842,2000.545139,3132.260982
264,1625.214102,2231.918229,3857.13233
265,1596.630583,1467.227046,3063.857629
266,1227.366312,906.4099108,2133.776223
267,4121.154788,5076.543773,9197.698561
268,2566.049245,2791.87306,5357.922305
269,2877.92969,5269.215888,8147.145578
270,3625.255414,4089.009246,7714.264661
271,4626.459701,7162.398695,11788.8584
272,1132.349317,1088.207279,2220.556596
273,3460.455062,4815.329657,8275.784719
274,1523.862946,2045.362736,3569.225682
275,2181.8167,2376.705231,4558.521931
276,2893.770912,2764.309388,5658.0803
277,3907.701436,4572.272396,8479.973831
278,0,25.52363903,25.52363903
279,3448.182635,2516.181334,5964.363969
280,2355.350285,1922.411616,4277.761901
281,2464.698338,2204.085713,4668.784051
282,1998.350375,2726.585682,4724.936057
283,5252.972581,4234.674519,9487.6471
284,2380.959005,2054.028513,4434.987518
285,6014.034399,5032.596573,11046.63097
286,2054.642815,1349.189686,3403.832501
287,5349.530378,3827.749272,9177.27965
288,2947.554283,2186.780944,5134.335227
289,3914.442168,2787.044496,6701.486664
290,2308.748774,1186.968827,3495.717602
291,4040.052709,2722.690688,6762.743397
292,3283.951961,2074.99129,5358.943251
293,6122.291505,3702.26763,9824.559136
294,3275.086974,2703.570232,5978.657206
295,4918.959944,4626.881053,9545.840997
296,649.8138555,791.7612769,1441.575132
297,370.1623822,1608.430115,1978.592498
298,4978.580723,4948.072969,9926.653692
299,1790.450913,1022.254108,2812.705021
300,905.0085628,952.0914131,1857.099976
301,1172.391693,1169.657424,2342.049117
302,2093.525381,2461.933713,4555.459094
303,1723.429915,2559.436714,4282.866629
304,1876.593887,1832.501337,3709.095224
305,2253.446059,3297.434957,5550.881016
306,1794.57002,2027.850161,3822.420181
307,1876.967058,3480.955248,5357.922305
308,1472.103434,4321.762626,5793.86606
309,1380.848025,1815.732527,3196.580552
310,1072.460635,1064.378425,2136.83906
311,1543.09867,1855.629103,3398.727773
312,489.9092324,1277.347534,1767.256766
313,1293.318101,2415.777123,3709.095224
314,2031.618007,1044.490969,3076.108976
315,3442.237319,2175.005159,5617.242478
316,1937.312377,1599.243047,3536.555424
317,804.7309665,597.027289,1401.758256
318,2942.071025,1931.923084,4873.994109
319,2518.532833,2172.712021,4691.244854
320,1953.011829,2664.724944,4617.736773
321,2313.787441,2069.131854,4382.919294
322,2780.573256,2185.305954,4965.87921
323,1849.069104,3971.341541,5820.410644
324,2963.497703,3792.099076,6755.596779
325,2192.68035,3289.797314,5482.477664
326,5315.9534,7024.215599,12340.169
327,3556.310462,5048.218728,8604.52919
328,2539.258377,4695.16187,7234.420247
329,1394.191631,2634.459553,4028.651185
330,410.6815532,713.3795097,1124.061063
331,3903.700467,4463.969353,8367.66982
332,764.105355,1454.40935,2218.514705
333,2390.212643,1441.396049,3831.608691
