hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
5013,3104,6,1,1,1
5022,3803,2,1,1,1
5045,4005,13,3,1,1
5047,4015,4,1,1,1
5063,3207,12,2,1,1
5065,3710,4,3,1,1
5067,3210,10,4,1,1
5068,3307,10,3,1,1
5107,3803,3,1,1,1
5119,4005,13,4,1,1
5121,3806,5,1,1,1
5122,3103,16,2,1,1
5129,3702,15,5,1,1
5154,3107,11,5,1,1
5159,3709,2,1,1,1
5167,4105,12,4,1,1
5172,3903,6,5,1,1
5182,3210,16,5,1,1
5203,3203,12,3,1,1
5209,4104,15,4,1,1
5216,4012,10,2,1,1
5253,3209,12,2,1,1
5270,4109,11,7,1,1
5274,4112,5,2,1,1
5288,3810,16,1,1,1
5300,3707,1,1,1,1
5302,4009,6,3,1,1
5315,4015,7,7,1,1
5325,2801,6,1,1,1
5332,3309,16,2,1,1
5339,3808,16,2,1,1
5355,4112,14,2,1,1
5366,4018,16,3,1,1
5369,3305,14,2,1,1
5375,3709,3,2,1,1
5393,3707,1,1,1,1
5402,2801,4,2,1,1
5403,4103,13,6,1,1
5414,4107,12,4,1,1
5416,2802,2,1,1,1
5431,3901,7,3,1,1
5441,3208,9,2,1,1
5451,4016,15,3,1,1
5458,3308,14,7,1,1
5468,4112,2,1,1,1
5476,4111,6,1,1,1
5487,3301,16,2,1,1
5494,3901,3,1,1,1
5499,3903,10,2,1,1
5509,4104,15,4,1,1
5527,2903,11,1,1,1
5538,3313,13,7,1,1
5540,3001,16,3,1,1
5552,3306,15,3,1,1
5561,3705,8,7,1,1
5565,2801,11,1,1,1
5566,3806,15,2,1,1
5571,3203,3,2,1,1
5594,3801,4,2,1,1
5608,4001,14,1,1,1
5633,3305,13,2,1,1
5645,3804,2,2,1,1
5660,4108,12,1,1,1
5661,3902,14,7,1,1
5662,4112,13,4,1,1
5668,4003,11,5,1,1
5671,3704,3,1,1,1
5676,3707,10,2,1,1
5686,4017,2,4,1,1
5689,3105,11,1,1,1
5690,3709,3,1,1,1
5705,3102,14,2,1,1
5708,3208,11,2,1,1
5727,3805,16,3,1,1
5733,3802,1,1,1,1
5745,4009,2,1,1,1
5764,3105,15,7,1,1
5779,4010,2,5,1,1
5781,4017,4,1,1,1
5796,3801,1,1,1,1
5797,3107,13,3,1,1
5825,3105,14,1,1,1
5862,3710,7,5,1,1
5882,4013,10,2,1,1
5902,3203,14,4,1,1
5905,4014,9,2,1,1
5917,3105,15,4,1,1
5927,3705,2,2,1,1
5958,4101,16,3,1,1
5977,3903,2,2,1,1
5997,4112,13,6,1,1
6000,4103,8,1,1,1
6003,3305,8,4,1,1
6006,4014,5,2,1,1
6015,3903,5,1,1,1
6023,4006,1,1,1,1
6041,3305,13,2,1,1
6045,3708,3,5,1,1
6069,4114,12,2,1,1
6070,4105,6,1,1,1
6077,3104,5,3,1,1
6087,4004,4,2,1,1
6090,4016,12,3,1,1
6091,3709,13,4,1,1
6115,3309,5,2,1,1
6123,3809,2,1,1,1
6124,4014,11,2,1,1
6125,4110,12,7,1,1
6139,3303,8,1,1,1
6144,4015,12,2,1,1
6146,4014,10,5,1,1
6183,4004,1,4,1,1
6190,4009,9,3,1,1
6198,3301,13,6,1,1
6229,4113,16,4,1,1
6244,3104,16,4,1,1
6252,4109,10,1,1,1
6255,3313,12,2,1,1
6265,3707,12,2,1,1
6271,3107,15,4,1,1
6280,4005,14,3,1,1
6291,3302,10,2,1,1
6312,2903,11,7,1,1
6329,3810,16,3,1,1
6346,4104,12,2,1,1
6348,3312,11,5,1,1
6399,3003,14,1,1,1
6408,3307,11,1,1,1
6423,3802,5,4,1,1
6427,3708,1,1,1,1
6432,4104,1,3,1,1
6437,3302,6,1,1,1
6444,4017,15,3,1,1
6463,4105,13,2,1,1
6466,3705,2,1,1,1
6467,3304,16,2,1,1
6485,4112,12,1,1,1
6493,3801,2,1,1,1
6501,3101,2,1,1,1
6503,4110,12,6,1,1
6563,4006,14,3,1,1
6567,3302,5,1,1,1
6593,4110,4,1,1,1
6595,3306,15,2,1,1
6598,4003,8,1,1,1
6620,3809,6,1,1,1
6633,4015,1,1,1,1
6645,3210,16,3,1,1
6660,2801,8,2,1,1
6669,4112,14,7,1,1
6681,3710,1,2,1,1
6691,4101,14,3,1,1
6697,3107,13,5,1,1
6713,3003,16,5,1,1
6717,3708,3,1,1,1
6750,3205,12,3,1,1
6767,4105,12,2,1,1
6781,3101,16,5,1,1
6814,3302,4,2,1,1
6817,3201,14,2,1,1
6834,2901,12,3,1,1
6835,3307,12,2,1,1
6838,2903,12,5,1,1
6845,4112,8,4,1,1
6851,3902,14,4,1,1
6862,3804,4,1,1,1
6887,4101,11,2,1,1
6890,3301,12,3,1,1
6893,4107,2,1,1,1
6921,3103,5,1,1,1
6925,3806,16,2,1,1
6930,3306,7,1,1,1
6935,4112,4,1,1,1
6942,4111,1,1,1,1
6954,3311,13,1,1,1
6962,4102,12,1,1,1
6970,4008,4,3,1,1
6981,3312,13,5,1,1
6991,3101,16,4,1,1
7002,3105,16,3,1,1
7019,3805,12,2,1,1
7033,3212,12,1,1,1
7036,4006,4,2,1,1
7077,3305,6,1,1,1
7100,3210,10,2,1,1
7112,4103,11,2,1,1
7131,4011,2,1,1,1
7137,4005,8,2,1,1
7143,3902,10,1,1,1
7156,4110,14,4,1,1
7158,3205,16,4,1,1
7175,4013,10,3,1,1
7178,4007,6,7,1,1
7182,4002,10,6,1,1
7192,3104,12,3,1,1
7251,4106,3,4,1,1
7259,3310,4,3,1,1
7263,4012,11,4,1,1
7274,3804,15,3,1,1
7276,3202,10,4,1,1
7287,3101,6,3,1,1
7290,3309,15,2,1,1
7294,4113,12,3,1,1
7300,3309,12,4,1,1
7302,3805,16,4,1,1
7304,3303,1,1,1,1
7306,3105,15,2,1,1
7322,2901,13,2,1,1
7323,3301,11,1,1,1
7325,4110,3,4,1,1
7338,3803,1,1,1,1
7346,3301,15,2,1,1
7368,3702,12,2,1,1
7377,3803,5,1,1,1
7383,2801,16,2,1,1
7453,4016,16,2,1,1
7455,4002,11,4,1,1
7461,3810,16,6,1,1
7477,2903,4,1,1,1
7489,4114,7,1,1,1
7501,4102,16,4,1,1
7524,4003,3,5,1,1
7536,4103,11,3,1,1
7538,4009,8,6,1,1
7547,3204,15,3,1,1
7551,3308,14,2,1,1
7555,3708,1,5,1,1
7580,3810,4,1,1,1
7584,4110,11,4,1,1
7597,4114,11,1,1,1
7629,3202,6,1,1,1
7681,3301,16,2,1,1
7682,4105,10,1,1,1
7683,3301,16,4,1,1
7708,4113,11,1,1,1
7716,3003,13,3,1,1
7751,4005,16,4,1,1
7755,3903,15,3,1,1
7787,3301,13,3,1,1
7798,3201,16,2,1,1
7813,4016,13,2,1,1
7815,3306,10,2,1,1
7821,4106,11,3,1,1
7824,3102,7,2,1,1
7829,4002,8,2,1,1
7844,3313,5,1,1,1
7846,3307,14,2,1,1
7867,4010,8,2,1,1
7870,3307,12,3,1,1
7896,3306,7,2,1,1
7900,3303,14,2,1,1
7905,3211,9,1,1,1
7911,4010,13,3,1,1
7919,3107,16,2,1,1
7928,3901,14,4,1,1
7930,4005,6,1,1,1
7938,4005,11,3,1,1
7946,4101,15,2,1,1
7962,2802,9,2,1,1
7963,4017,12,3,1,1
7967,3001,14,2,1,1
7969,4112,1,2,1,1
7997,3106,3,2,1,1
8000,3709,10,2,1,1
8037,4105,8,2,1,1
8041,3201,15,4,1,1
8050,4005,4,5,1,1
8113,3212,1,1,1,1
8143,2801,12,3,1,1
8150,3710,3,2,1,1
8155,3708,1,1,1,1
8161,3702,3,2,1,1
8166,3201,13,4,1,1
8174,4005,16,3,1,1
8187,4107,13,2,1,1
8203,2901,10,3,1,1
8213,3201,9,1,1,1
8221,4015,4,1,1,1
8229,4005,13,3,1,1
8230,4103,1,3,1,1
8248,3207,8,4,1,1
8249,4103,3,1,1,1
8256,3207,7,6,1,1
8266,3105,10,5,1,1
8279,2901,7,4,1,1
8309,3706,11,1,1,1
8338,4001,6,4,1,1
8343,3708,4,5,1,1
8350,3103,15,4,1,1
8366,3805,13,1,1,1
8382,4015,10,2,1,1
8387,3106,11,3,1,1
8391,3102,11,2,1,1
8394,4009,11,3,1,1
8400,3106,6,2,1,1
8411,4104,13,2,1,1
8420,4001,15,3,1,1
8436,4106,3,1,1,1
8454,3306,9,2,1,1
8462,3702,2,1,1,1
8485,3311,10,4,1,1
8506,3211,16,7,1,1
8508,2801,11,5,1,1
8520,2801,1,1,1,1
8521,3309,9,1,1,1
8524,4006,11,1,1,1
8567,4101,12,2,1,1
8603,2801,16,2,1,1
8605,3708,11,5,1,1
8617,3107,6,1,1,1
8624,2902,6,2,1,1
8628,3303,16,4,1,1
8630,4101,14,2,1,1
8637,3705,2,3,1,1
8639,2901,14,4,1,1
8643,3806,16,1,1,1
8663,3706,2,3,1,1
8665,4009,11,3,1,1
8690,3202,16,3,1,1
8707,4112,3,5,1,1
8725,3810,5,1,1,1
8736,4103,11,1,1,1
8737,4013,6,1,1,1
8749,4101,9,3,1,1
8760,3901,12,1,1,1
8774,4112,8,3,1,1
8781,3304,15,2,1,1
8813,4003,7,4,1,1
8840,3709,7,1,1,1
8873,4017,12,2,1,1
8880,3901,15,4,1,1
8886,4017,4,1,1,1
8896,3201,14,3,1,1
8908,3902,13,2,1,1
8925,2901,15,3,1,1
8934,3302,1,2,1,1
8944,4007,9,4,1,1
8961,3303,13,3,1,1
8967,3809,11,2,1,1
8971,3106,5,3,1,1
9006,4015,11,5,1,1
9008,4114,3,2,1,1
9017,4112,10,3,1,1
9028,3902,13,3,1,1
9063,4014,13,6,1,1
9073,3807,4,1,1,1
9078,4001,2,1,1,1
9079,4004,1,2,1,1
9088,3303,13,2,1,1
9107,4111,15,3,1,1
9114,3702,10,1,1,1
9115,2802,4,1,1,1
9120,4002,10,5,1,1
9126,4003,12,1,1,1
9167,3106,11,2,1,1
9171,3106,10,1,1,1
9172,3301,11,1,1,1
9183,4105,13,7,1,1
9199,3303,14,3,1,1
9203,2903,3,2,1,1
9216,2903,2,3,1,1
9225,4015,3,2,1,1
9228,3802,15,4,1,1
9249,4104,14,3,1,1
9258,3705,12,1,1,1
9273,4112,11,6,1,1
9280,3212,16,2,1,1
9285,4013,15,2,1,1
9351,3205,12,2,1,1
9352,3103,12,2,1,1
9359,3105,4,1,1,1
9370,3803,4,2,1,1
9374,3806,16,1,1,1
9380,4012,16,2,1,1
9395,3308,12,2,1,1
9420,3210,9,7,1,1
9436,4009,12,2,1,1
9459,3702,14,1,1,1
9466,3001,2,1,1,1
9467,4017,14,4,1,1
9496,3306,16,4,1,1
9527,4017,12,5,1,1
9529,4102,11,2,1,1
9530,4103,2,2,1,1
9543,3203,5,1,1,1
9555,3805,3,1,1,1
9558,3809,12,1,1,1
9559,3209,13,2,1,1
9573,4005,16,2,1,1
9584,3809,11,1,1,1
9629,4016,12,3,1,1
9656,3707,11,6,1,1
9660,3708,11,2,1,1
9672,3903,4,2,1,1
9701,4104,13,2,1,1
9712,3704,15,2,1,1
9721,3708,12,2,1,1
9723,3802,5,2,1,1
9725,3307,15,2,1,1
9739,3202,15,5,1,1
9740,3709,3,1,1,1
9749,3703,8,1,1,1
9750,4001,4,7,1,1
9775,4103,5,4,1,1
9777,3210,15,5,1,1
9799,3810,2,3,1,1
9800,3003,13,4,1,1
9807,3809,9,4,1,1
9824,3311,14,2,1,1
9833,3706,3,3,1,1
9836,3306,11,4,1,1
9865,4008,11,3,1,1
9867,3810,15,1,1,1
9896,4001,12,2,1,1
9904,4103,16,3,1,1
9907,3003,7,2,1,1
9913,3801,11,3,1,1
9915,3306,11,5,1,1
9916,4101,12,2,1,1
9920,4101,7,1,1,1
9931,4001,16,3,1,1
9938,2903,12,3,1,1
9963,4011,9,1,1,1
9967,2902,14,1,1,1
9968,3107,8,2,1,1
9971,3206,11,5,1,1
9977,2801,15,2,1,1
9988,3312,11,1,1,1
9998,3803,4,1,1,1
10005,3903,12,3,1,1
10011,3306,11,3,1,1
10048,3102,12,5,1,1
10053,4006,8,1,1,1
10069,2903,10,2,1,1
10079,3210,16,2,1,1
10084,2901,16,2,1,1
10110,3710,2,2,1,1
10114,3802,3,2,1,1
10115,3802,16,2,1,1
10134,4018,1,1,1,1
10135,4009,13,2,1,1
10147,3806,12,2,1,1
10167,3212,11,1,1,1
10169,4002,11,3,1,1
10176,3301,15,5,1,1
10198,4011,16,4,1,1
10201,4009,14,4,1,1
10204,4112,11,3,1,1
10245,2903,12,1,1,1
10267,3704,1,3,1,1
10268,4101,16,4,1,1
10275,3803,6,2,1,1
10284,4107,3,4,1,1
10290,3804,15,2,1,1
10291,4104,13,5,1,1
10295,3305,14,2,1,1
10296,3806,14,1,1,1
10302,3704,8,1,1,1
10304,4010,11,3,1,1
10307,4112,12,4,1,1
10313,3201,14,4,1,1
10315,3210,15,2,1,1
10336,4001,12,1,1,1
10343,3709,2,1,1,1
10344,4110,1,2,1,1
10393,3810,13,1,1,1
10397,3101,4,6,1,1
