variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
5053,1749,270.1161136,337.645142,47.27031988,47.27031988,162.0696682,0,54.02322272,303.8806278,87.78773692,168.822571,47.27031988,222.8457937,0,0,0,0,128.6,700.89,379.38,302.22,237.92,0,0
5054,1242,247.8011328,45.05475142,145.5615046,72.78075229,51.98625164,173.2875055,45.05475142,29.45887593,77.97937746,0,164.6231302,124.7670039,27.72600087,0,22.52737571,13.86300044,183.72,212.3,285.78,401.46,132,27.22,0
5055,1160,68.92568561,0,91.90091415,45.95045708,275.7027425,45.95045708,65.09648086,95.73011891,126.363757,114.8761427,126.363757,0,103.3885284,0,0,0,338.46,292.25,129.89,339.71,22.48,37.47,0
5056,1355,109.4362308,25.61273487,116.4215222,0,0,211.8871703,79.16663507,130.3921048,79.16663507,284.0685141,32.5980262,176.9607137,83.82349595,0,25.61273487,0,466.67,188.46,230.34,245.3,176.5,0,47.86
5057,768,118.6755067,148.3443833,20.76821367,20.76821367,71.205304,0,23.73510133,133.509945,38.56953967,74.17219167,20.76821367,97.907293,0,0,0,0,70.73,311.87,86.81,180.05,57.87,61.09,0
5058,1135,175.2697707,219.0872134,30.67220988,30.67220988,105.1618624,0,35.05395415,197.1784921,56.96267549,109.5436067,30.67220988,144.5975609,0,0,0,0,113.49,292.23,255.35,348.97,124.84,0,0
5059,724,42.85420464,244.0308875,0,36.90223177,57.13893952,126.1818248,19.04631317,7.14236744,0,41.66381007,40.47341549,36.90223177,59.51972867,0,11.90394573,0,81.2,205.5,129.31,159.39,101.25,31.08,16.04
5060,707,156.6455398,127.8739101,25.57478201,0,118.2833668,0,31.96847752,0,60.74010728,0,25.57478201,54.34641178,44.75586853,0,60.74010728,0,109.82,185.47,59.79,291.63,41.49,18.3,0
5061,1768,446.9300769,110.1132073,136.0221973,0,51.81797992,239.6581572,252.6126521,0,0,129.5449498,0,310.9078795,90.68146487,0,0,0,526.62,463.81,140.11,401.01,198.09,38.65,0
5062,1853,85.28322291,0,0,198.9941868,56.85548194,75.80730926,75.80730926,0,156.3525753,165.828489,639.6241719,265.3255824,66.3313956,66.3313956,0,0,365.29,652.3,172.21,610.56,52.18,0,0
5063,1875,114.1749658,33.05064799,111.1703614,0,102.1565483,108.1657571,0,30.04604363,159.2440312,198.303888,228.3499316,357.5479192,84.12892216,54.08287853,186.2854705,108.1657571,544.86,507.64,419.65,206.44,138.75,0,57.53
5064,1860,26.95140228,0,131.3880861,60.64065512,0,60.64065512,23.58247699,94.32990797,43.7960287,70.74743098,458.1738387,178.5530401,212.2422929,74.11635626,256.0383216,168.4462642,404.11,718.41,246.96,258.18,153.41,78.58,0
5065,1972,38.62249075,141.6157994,0,38.62249075,0,36.04765803,41.19732347,28.32315988,172.513792,239.4594426,41.19732347,496.9427143,249.7587735,149.3402976,146.7654648,151.9151303,429.15,629.03,311.57,490.88,47.03,20.58,44.09
5066,1464,0,0,0,22.06675263,29.42233684,26.97047543,0,56.39281227,17.16302982,78.45956489,132.4005158,198.6007736,166.7265754,107.8819017,316.290121,311.3863982,194.49,690.94,276.37,230.31,0,71.65,0
5067,1765,0,27.25075408,81.75226223,39.36220033,0,69.64081597,27.25075408,27.25075408,51.47364659,54.50150815,60.55723128,308.8418795,221.0338942,242.2289251,317.9254642,236.173202,299.59,643.24,414.14,317.22,91.05,0,0
5068,1601,33.34996971,62.5311932,20.84373107,29.18122349,0,16.67498485,0,62.5311932,66.69993941,79.20617805,45.85620835,404.3683827,191.7623258,137.568625,266.7997576,183.4248334,427.73,518.7,314.41,194.71,135.66,0,9.58
5069,1000,15.94998459,15.94998459,45.85620571,11.96248845,27.91247304,33.89371726,14.95311056,0,0,53.83119801,124.6092546,82.74054508,201.3685555,89.71866335,139.5623652,141.5561133,282.06,357.93,95.32,106.99,56.41,87.54,13.62
5070,2172,646.4597195,0,0,0,66.54732407,128.3412678,0,61.79394378,61.79394378,385.0238035,0,171.1216905,313.7230992,71.30070436,66.54732407,199.6419722,745.82,720.48,166.54,434.46,104.99,0,0
5071,3247,114.6097478,70.9488915,54.57607038,109.1521408,120.0673548,382.0324927,32.74564223,60.03367742,54.57607038,425.693349,321.9988153,480.2694194,360.2020645,267.4227449,343.8292434,49.11846335,551.99,1358.42,478.68,612.37,150.94,77.62,17.25
5072,1866,161.4123876,256.3608508,52.2216548,109.1907328,94.94846327,227.8763119,109.1907328,113.9381559,137.6752717,113.9381559,85.45361695,94.94846327,118.6855791,23.73711582,71.21134745,94.94846327,61.17,497.02,741.71,160.58,313.51,91.76,0
5073,1919,274.0745767,46.91366627,0,128.3952972,66.66678892,133.3335778,130.8644375,204.9386474,74.07420991,185.1855248,71.60506958,133.3335778,328.3956639,51.85194693,29.62968396,59.25936793,599.26,527.71,165.47,366.71,125.22,49.19,84.97
5074,2330,516.5251637,421.6531949,84.33063897,0,390.0292052,0,105.4132987,0,200.2852676,0,84.33063897,179.2026078,147.5786182,0,200.2852676,0,548.96,807.3,442.86,456.7,0,73.81,0
5075,2110,38.02476109,0,0,57.03714163,90.30880758,190.1238054,0,57.03714163,57.03714163,199.6299957,361.2352303,247.1609471,142.5928541,232.9016616,247.1609471,190.1238054,304.35,832.66,347.42,410.59,183.76,31.58,0
5076,1767,0,0,0,80.59227568,0,86.3488668,0,0,0,0,86.3488668,587.1722943,149.6713691,0,690.7909344,86.3488668,470.28,391.08,400.98,143.56,198.01,0,163.36
