hid,sample_geo,gqtype,gqrtotals,gqtotals
269815,905,1,1,1
269985,904,2,1,1
270293,904,1,1,1
271808,104,1,1,1
271856,101,1,1,1
271904,100,1,1,1
272344,105,1,1,1
273160,105,2,1,1
273464,905,2,1,1
273965,104,2,1,1
274230,101,1,1,1
274848,105,1,1,1
275258,900,1,1,1
275566,901,2,1,1
276246,102,2,1,1
276303,905,2,1,1
276510,905,2,1,1
277278,103,1,1,1
278295,905,2,1,1
278734,904,2,1,1
280459,100,1,1,1
280731,102,1,1,1
282172,102,1,1,1
283169,104,1,1,1
283196,101,2,1,1
283484,902,1,1,1
283937,101,1,1,1
284698,904,2,1,1
285425,101,2,1,1
286031,905,2,1,1
286246,904,1,1,1
287188,902,1,1,1
287392,905,2,1,1
288875,101,2,1,1
289802,904,2,1,1
290879,103,1,1,1
291220,900,1,1,1
292643,901,1,1,1
293016,903,2,1,1
293349,101,2,1,1
293624,105,2,1,1
293765,900,1,1,1
294112,105,2,1,1
294825,100,1,1,1
295720,904,2,1,1
295733,906,1,1,1
295951,104,2,1,1
296010,905,2,1,1
296176,105,2,1,1
296769,902,2,1,1
297908,902,2,1,1
298187,100,2,1,1
298291,100,1,1,1
299102,100,1,1,1
300481,100,1,1,1
300766,905,2,1,1
301033,102,2,1,1
301368,905,1,1,1
303440,903,1,1,1
303574,104,1,1,1
304236,902,2,1,1
304379,903,2,1,1
304579,903,1,1,1
304659,100,2,1,1
305291,103,1,1,1
305743,102,2,1,1
305918,905,2,1,1
306271,900,1,1,1
308078,102,1,1,1
309429,904,1,1,1
310453,903,1,1,1
313012,104,2,1,1
313015,903,2,1,1
315248,905,2,1,1
316253,105,1,1,1
316409,902,2,1,1
316767,901,1,1,1
317456,105,2,1,1
318100,905,2,1,1
318618,104,2,1,1
319830,901,2,1,1
319963,104,2,1,1
320369,105,1,1,1
320526,104,2,1,1
320628,905,2,1,1
321216,905,2,1,1
322678,100,2,1,1
323910,905,2,1,1
323988,905,2,1,1
324322,104,1,1,1
324880,901,1,1,1
325325,102,1,1,1
325471,905,2,1,1
325620,102,1,1,1
325708,900,2,1,1
325850,903,2,1,1
326303,906,1,1,1
327194,903,2,1,1
327278,906,1,1,1
327391,901,2,1,1
328045,905,2,1,1
330448,904,2,1,1
330576,104,2,1,1
331583,105,1,1,1
331634,104,1,1,1
331935,905,2,1,1
332548,100,2,1,1
332682,100,1,1,1
332943,103,2,1,1
333412,101,1,1,1
334357,905,2,1,1
334371,905,2,1,1
335074,104,1,1,1
335113,101,1,1,1
335324,105,1,1,1
335851,900,1,1,1
335916,903,1,1,1
336264,104,1,1,1
336804,902,2,1,1
336889,101,2,1,1
337401,902,2,1,1
338330,102,1,1,1
338545,104,2,1,1
338769,901,2,1,1
339011,104,2,1,1
339381,906,1,1,1
339688,100,1,1,1
339915,104,2,1,1
340336,903,1,1,1
340800,100,2,1,1
341316,900,1,1,1
341481,105,1,1,1
342745,904,2,1,1
343140,102,1,1,1
343383,905,2,1,1
343975,101,2,1,1
343997,900,1,1,1
344803,904,2,1,1
345417,906,1,1,1
345667,905,2,1,1
346439,905,2,1,1
346650,104,1,1,1
346733,905,2,1,1
346795,904,2,1,1
347774,903,1,1,1
348200,902,1,1,1
349115,105,1,1,1
349510,905,2,1,1
350311,905,2,1,1
351113,105,1,1,1
351745,104,2,1,1
352880,905,2,1,1
353108,905,1,1,1
353201,101,1,1,1
353688,101,2,1,1
353711,105,1,1,1
353998,101,1,1,1
354442,903,2,1,1
354567,101,1,1,1
356013,903,1,1,1
356037,905,2,1,1
356408,904,2,1,1
356666,903,2,1,1
356780,102,2,1,1
356793,900,1,1,1
356861,905,2,1,1
357013,900,1,1,1
358272,901,2,1,1
358570,902,2,1,1
359158,101,2,1,1
359442,100,2,1,1
361227,103,2,1,1
361288,901,2,1,1
361357,902,1,1,1
361601,905,2,1,1
362149,900,1,1,1
362820,100,1,1,1
363001,102,2,1,1
363883,104,2,1,1
364895,900,1,1,1
365375,100,2,1,1
365801,906,1,1,1
366215,105,1,1,1
366351,105,1,1,1
366395,904,2,1,1
367236,904,2,1,1
367853,902,1,1,1
368132,903,2,1,1
368680,101,1,1,1
368821,900,2,1,1
369514,905,2,1,1
370046,903,2,1,1
370095,905,2,1,1
370853,905,2,1,1
370962,101,2,1,1
371248,101,1,1,1
371941,104,2,1,1
372015,903,2,1,1
372730,905,2,1,1
372773,904,2,1,1
373084,101,2,1,1
373440,904,1,1,1
375529,906,1,1,1
376033,100,2,1,1
376223,906,1,1,1
376398,901,1,1,1
376980,905,2,1,1
377076,900,1,1,1
378063,100,2,1,1
378251,901,1,1,1
378313,104,2,1,1
378337,905,2,1,1
378505,101,1,1,1
378526,901,2,1,1
378758,105,1,1,1
378885,906,1,1,1
379183,906,2,1,1
379523,904,2,1,1
379624,100,2,1,1
379745,903,2,1,1
379800,101,2,1,1
380316,905,2,1,1
380624,904,2,1,1
381089,905,1,1,1
381242,902,1,1,1
381508,105,1,1,1
382799,104,1,1,1
383176,100,2,1,1
383193,101,2,1,1
383677,904,2,1,1
384451,104,1,1,1
384602,901,2,1,1
385004,104,1,1,1
385585,105,1,1,1
385702,901,1,1,1
387506,101,1,1,1
387526,102,2,1,1
389912,101,2,1,1
390110,905,2,1,1
390998,104,1,1,1
391111,104,1,1,1
391473,901,1,1,1
391481,104,2,1,1
391965,905,2,1,1
394705,903,2,1,1
395284,903,2,1,1
395618,905,2,1,1
395843,100,2,1,1
396073,101,2,1,1
396217,101,2,1,1
396581,902,2,1,1
396841,903,2,1,1
397335,900,1,1,1
397475,903,2,1,1
397755,906,1,1,1
398720,906,2,1,1
399289,104,2,1,1
399614,101,2,1,1
399781,101,2,1,1
401061,100,1,1,1
401431,104,1,1,1
401996,905,2,1,1
404036,102,2,1,1
404040,904,1,1,1
404326,102,2,1,1
404380,905,2,1,1
405469,900,1,1,1
