variable_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo,,,
5087,0,0,0
5088,3.071639082,0,3.071639082
5089,931.7305215,931.7305215,0
5090,154.6058338,146.4147962,8.191037552
5091,12.28655633,0,12.28655633
5092,9.214917246,0,9.214917246
5093,7.167157858,0,7.167157858
5094,0,0,0
5095,0,0,0
5096,0,0,0
5097,7.167157858,3.071639082,4.095518776
5098,59.38502225,43.00294715,16.3820751
5099,269.2803595,251.8744047,17.4059548
5100,266.2087204,238.5639687,27.64475174
5101,156.6535932,140.2715181,16.3820751
5102,49.14622531,45.05070654,4.095518776
5103,16.3820751,0,16.3820751
5104,4.095518776,0,4.095518776
5105,1007.497619,0,1007.497619
5106,169.9640292,139.2476384,30.71639082
5107,278.4952768,178.1550668,100.34021
5108,0,0,0
5109,0,0,0
5110,774.0530487,774.0530487,0
5111,6.143278164,0,6.143278164
5112,4.095518776,0,4.095518776
5113,7.167157858,0,7.167157858
5114,21.50147357,0,21.50147357
5115,23.54923296,6.143278164,17.4059548
5116,40.95518776,0,40.95518776
5117,6.143278164,0,6.143278164
5118,2.047759388,0,2.047759388
5119,116.7222851,9.214917246,107.5073679
5120,97.26857093,95.22081154,2.047759388
5121,0,0,0
5122,7.167157858,0,7.167157858
5123,83.95813491,26.62087204,57.33726286
5124,0,0,0
5125,242.6594875,188.3938637,54.26562378
5126,5.11939847,0,5.11939847
5127,9.214917246,0,9.214917246
5128,5.11939847,0,5.11939847
5129,188.3938637,188.3938637,0
5130,102.3879694,0,102.3879694
5131,271.3281189,267.2326001,4.095518776
5132,21.50147357,0,21.50147357
5133,106.4834882,103.4118491,3.071639082
5134,0,0,0
5135,0,0,0
5136,8.191037552,0,8.191037552
5137,0,0,0
5138,93.17305215,0,93.17305215
5139,0,0,0
5140,156.6535932,156.6535932,0
5141,9.214917246,0,9.214917246
5142,6.143278164,0,6.143278164
5143,0,0,0
5144,6.143278164,0,6.143278164
5145,9.214917246,0,9.214917246
5146,0,0,0
5147,158.7013526,146.4147962,12.28655633
5148,0,0,0
5149,0,0,0
